erp_entry_id,reference,posting_date,amount,currency,vendor_name,gl_account,status
ERP-300103,,29-04-2026,23883.96,USD,Pierce Inc,2002,booked
ERP-300104,REF-446337,22-02-2026,15957.67,USD,Cobb Group,2001,booked
ERP-300105,REF-661147,30-01-2026,22700.73,USD,Brown Ltd,2001,booked
ERP-300106,REF-451317,29-04-2026,7477.35,GBP,Kelly-Murphy,2001,booked
ERP-300107,,28-03-2026,18422.03,EUR,"George, Lewis and Mitchell",4010,booked
ERP-300108,REF-710754,08-02-2026,5907.14,EUR,Harvey Inc,3050,booked
ERP-300109,REF-601410,18-01-2026,9204.41,USD,Jones Group,3050,booked
ERP-300110,REF-969032,08-01-2026,1975.62,GBP,Reynolds-Harris,4010,booked
ERP-300111,REF-160541,14-03-2026,3320.31,EUR,Reed PLC,2001,booked
ERP-300112,REF-401036,05-01-2026,23366.21,USD,Bowers Ltd,3050,booked
ERP-300113,REF-233533,09-03-2026,2987.86,GBP,"Garner, Lawson and Richard",3050,booked
ERP-300114,REF-948799,05-01-2026,4732.3,GBP,Reynolds-Harris,2001,booked
ERP-300115,REF-891030,28-01-2026,10071.58,USD,Stone and Sons,3050,booked
ERP-300116,REF-811721,22-03-2026,1547.42,GBP,Bryant LLC,2002,booked
ERP-300117,REF-585517,14-04-2026,7535.89,GBP,"Dorsey, Patterson and Harrison",2002,booked
ERP-300118,REF-176319,22-04-2026,1312.13,EUR,Reynolds LLC,2001,booked
ERP-300119,REF-733760,31-03-2026,18678.31,EUR,Jenkins-Henderson,4010,booked
ERP-300120,REF-428122,17-02-2026,19046.68,EUR,Walter Inc,2002,booked
ERP-300121,REF-900441,02-02-2026,12495.05,GBP,"Johnson, Phillips and Brown",2001,booked
ERP-300122,REF-106693,08-04-2026,23631.07,GBP,Gordon-Roberts,2001,booked
ERP-300123,REF-117538,02-01-2026,190.14,GBP,Park-Daniels,3050,booked
ERP-300124,,21-02-2026,19878.53,USD,Dudley Ltd,2001,booked
ERP-300125,REF-554987,19-04-2026,17578.56,USD,Cooper PLC,2001,booked
ERP-300126,REF-790077,14-03-2026,17118.61,EUR,"Rice, Wallace and Castillo",3050,booked
ERP-300127,REF-822794,12-04-2026,9611.56,GBP,"Cox, Fernandez and Baker",4010,booked
ERP-300128,REF-493663,01-05-2026,12277.82,EUR,Griffin Inc,3050,booked
ERP-300129,REF-423241,01-05-2026,9033.49,USD,Dickson-Padilla,3050,booked
ERP-300130,REF-506637,22-02-2026,21596.36,USD,"Garcia, Mercado and West",2002,booked
ERP-300131,REF-920685,03-03-2026,10881.04,EUR,Mcclain-Jensen,4010,booked
ERP-300132,REF-551533,12-02-2026,20106.81,EUR,Rhodes Ltd,2002,booked
ERP-300133,REF-219420,16-02-2026,8164.01,EUR,"Garner, Lawson and Richard",4010,booked
ERP-300134,REF-364955,31-01-2026,16832.62,USD,Wilson Ltd,3050,booked
ERP-300135,REF-906306,14-01-2026,17548.32,GBP,White Group,2002,booked
ERP-300136,REF-821068,16-03-2026,12779.14,GBP,Gardner Inc,2002,booked
ERP-300137,REF-316916,11-04-2026,8724.51,EUR,Reed PLC,2002,booked
ERP-300138,REF-687044,12-02-2026,12911.95,GBP,Mcdowell-Watts,4010,booked
ERP-300139,REF-888870,05-02-2026,136.14,USD,"Peterson, Hood and Arroyo",4010,booked
ERP-300140,REF-580101,19-04-2026,14685.44,EUR,"Howell, Hart and Swanson",4010,booked
ERP-300141,REF-294776,24-02-2026,14920.73,GBP,Arnold-Beck,2001,booked
ERP-300142,REF-629990,13-03-2026,12128.11,USD,Arnold-Beck,4010,booked
ERP-300143,REF-218710,07-03-2026,14152.12,EUR,"Walker, Garcia and Mcguire",2001,booked
ERP-300144,REF-223088,26-02-2026,11257.07,EUR,Richard LLC,2002,booked
ERP-300145,REF-700556,07-02-2026,8108.25,GBP,"Garcia, Mercado and West",2002,booked
ERP-300146,REF-359579,17-04-2026,6260.69,GBP,Jimenez-Bradley,4010,booked
ERP-300147,REF-580718,04-04-2026,8199.05,USD,Leach-Walker,2002,booked
ERP-300148,REF-815707,25-04-2026,14164.4,EUR,"Curtis, Turner and Soto",2002,booked
ERP-300149,REF-387330,22-04-2026,22056.64,EUR,Mcdowell-Watts,2001,booked
ERP-300150,REF-566686,29-03-2026,3339.18,USD,Garcia Ltd,3050,booked
ERP-300151,REF-656278,09-01-2026,3449.8,USD,"Dorsey, Patterson and Harrison",2001,booked
ERP-300152,REF-429780,24-02-2026,14749.61,EUR,Flynn Group,2001,booked
ERP-300153,REF-218220,19-02-2026,19600.44,USD,Garcia and Sons,2002,booked
ERP-300154,REF-170813,17-03-2026,19074.08,USD,"Johnson, Harrison and Thomas",3050,booked
ERP-300155,REF-442622,10-03-2026,1998.56,USD,"Frey, Mcgee and Bailey",2001,booked
ERP-300156,REF-113280,16-01-2026,7749.52,GBP,Bryant LLC,2001,booked
ERP-300157,REF-577309,05-03-2026,6592.17,GBP,"Hernandez, Greer and Jackson",4010,booked
ERP-300158,REF-999138,30-04-2026,9115.31,USD,Dickson Inc,2001,booked
ERP-300159,REF-172274,21-02-2026,4504.13,GBP,"Santana, Hoffman and Cobb",4010,booked
ERP-300160,REF-934638,08-04-2026,24944.73,USD,Prince-Martinez,2001,booked
ERP-300161,REF-146032,12-01-2026,24314.67,USD,Robbins LLC,2001,booked
ERP-300162,REF-373668,07-02-2026,10888.7,USD,Lane-Hines,2002,booked
ERP-300163,REF-661957,16-01-2026,11252.93,EUR,Lewis-Robinson,2002,booked
ERP-300164,,07-01-2026,24210.79,EUR,Fitzgerald PLC,2002,booked
ERP-300165,REF-760914,29-03-2026,3289.61,EUR,Brown-Huynh,4010,booked
ERP-300166,REF-859620,16-04-2026,1289.68,GBP,"Gray, Williams and Weaver",4010,booked
ERP-300167,REF-191982,08-01-2026,10314.51,GBP,Webster and Sons,3050,booked
ERP-300168,REF-726121,10-02-2026,9724.82,USD,Thornton and Sons,2001,booked
ERP-300169,REF-936124,19-04-2026,19107.14,USD,"Edwards, Anderson and Taylor",2002,booked
ERP-300170,,09-02-2026,20921.5,EUR,Morris Inc,2002,booked
ERP-300171,REF-651860,19-04-2026,14675.56,USD,Anderson Inc,4010,booked
ERP-300172,REF-743520,30-03-2026,16238.28,USD,Roberts Group,2001,booked
ERP-300173,REF-693022,23-03-2026,4572.49,EUR,Mann Group,3050,booked
ERP-300174,REF-504684,07-01-2026,6435.03,USD,Joseph Group,2001,booked
ERP-300175,REF-434198,03-01-2026,19984.88,USD,Bowman LLC,4010,booked
ERP-300176,REF-156157,21-01-2026,23562.5,USD,Perez-Neal,3050,booked
ERP-300177,REF-794178,16-04-2026,120.29,USD,Bowman LLC,4010,booked
ERP-300178,REF-567429,24-01-2026,4642.41,EUR,Goodwin-Martinez,2002,booked
ERP-300179,REF-661527,23-02-2026,13851.21,EUR,Pena Inc,4010,booked
ERP-300180,REF-302087,14-04-2026,4342.65,USD,Brown LLC,4010,booked
ERP-300181,REF-539976,11-04-2026,22931.12,USD,Pena Inc,4010,booked
ERP-300182,,23-01-2026,14311.28,EUR,"Bates, Diaz and Lowe",3050,booked
ERP-300183,REF-339030,22-04-2026,7790.96,EUR,"Evans, Conway and Hall",3050,booked
ERP-300184,REF-426236,09-01-2026,20529.91,GBP,Mcdowell-Watts,3050,booked
ERP-300185,REF-766275,20-02-2026,9224.59,EUR,Banks-Savage,4010,booked
ERP-300186,REF-332103,20-04-2026,1265.03,GBP,Wright Group,3050,booked
ERP-300187,REF-494763,24-02-2026,17825.69,GBP,Vincent-Mcclure,3050,booked
ERP-300188,REF-845635,25-03-2026,16023.85,EUR,"Hansen, Herrera and Taylor",3050,booked
ERP-300189,REF-137034,05-04-2026,22675.12,EUR,Bauer Inc,4010,booked
ERP-300190,REF-291961,08-04-2026,3220.4,EUR,Walters LLC,2001,booked
ERP-300191,REF-813763,16-01-2026,11818.69,USD,Colon Group,4010,booked
ERP-300192,REF-160831,23-03-2026,8332.42,USD,Davis PLC,4010,booked
ERP-300193,REF-866151,26-01-2026,9598.33,USD,Shaw-Decker,3050,booked
ERP-300194,,07-02-2026,4196.33,USD,Davis-Mitchell,2002,booked
ERP-300195,,04-04-2026,18186.04,USD,Brown LLC,2001,booked
ERP-300196,REF-365015,12-03-2026,10433.97,EUR,"Pineda, Travis and Jones",2001,booked
ERP-300197,REF-375769,10-04-2026,12456.03,GBP,Walters PLC,4010,booked
ERP-300198,REF-858711,10-01-2026,3749.88,USD,"Liu, Parsons and Delacruz",2001,booked
ERP-300199,REF-245117,20-04-2026,2397.59,USD,"Garza, Barker and Maddox",4010,booked
ERP-300200,REF-935620,25-03-2026,17255.31,EUR,Dickson-Gutierrez,2002,booked
ERP-300201,REF-531262,24-04-2026,12089.91,EUR,Reynolds-Harris,2002,booked
ERP-300202,,20-01-2026,12061.19,GBP,Pennington PLC,2002,booked
ERP-300203,REF-346415,15-04-2026,13773.63,EUR,"Graham, Garrett and Caldwell",3050,booked
ERP-300204,,25-03-2026,22255.52,GBP,"Peterson, Hood and Arroyo",3050,booked
ERP-300205,REF-492052,08-03-2026,20751.35,EUR,Hunter-Nicholson,2002,booked
ERP-300206,REF-764000,06-01-2026,17926.78,USD,Kirk-Henson,2002,booked
ERP-300207,REF-789461,19-02-2026,18269.1,USD,Hawkins-Saunders,2002,booked
ERP-300208,REF-984027,08-02-2026,3476.05,GBP,Fitzgerald PLC,3050,booked
ERP-300209,REF-711116,03-03-2026,17766.06,EUR,Roberts Group,2002,booked
ERP-300210,REF-362732,29-03-2026,6692.78,USD,Johnson-Newton,2001,booked
ERP-300211,REF-818430,11-04-2026,23163.96,EUR,"Payne, Wall and Hernandez",2001,booked
ERP-300212,REF-495521,16-01-2026,4694.74,USD,Hickman-Walter,3050,booked
ERP-300213,REF-176421,15-02-2026,12276.51,GBP,"Walker, Garcia and Mcguire",3050,booked
ERP-300214,REF-688602,02-03-2026,5480.67,GBP,Wilson and Sons,3050,booked
ERP-300215,REF-941814,07-03-2026,642.03,GBP,Dudley Ltd,4010,booked
ERP-300216,REF-836879,17-04-2026,20895.74,USD,Murray Group,2002,booked
ERP-300217,REF-760830,27-02-2026,22776.89,EUR,Bauer Inc,3050,booked
ERP-300218,REF-514306,18-02-2026,15173.98,EUR,Robinson and Sons,2001,booked
ERP-300219,REF-143802,16-01-2026,13849.27,GBP,Roberts LLC,2002,booked
ERP-300220,REF-290167,15-01-2026,15431.7,EUR,Maxwell-Shepherd,3050,booked
ERP-300221,,13-01-2026,3227.17,GBP,Rodriguez LLC,2002,booked
ERP-300222,REF-980919,05-02-2026,19646.86,GBP,"Moss, Atkins and Daniels",2002,booked
ERP-300223,REF-757057,04-04-2026,22285.14,USD,"Hayes, Luna and Miller",2002,booked
ERP-300224,REF-587274,18-01-2026,9161.32,USD,Zimmerman and Sons,4010,booked
ERP-300225,REF-611329,08-04-2026,23480.9,USD,Jones Group,3050,booked
ERP-300226,REF-785428,18-02-2026,14476.32,GBP,Bryant LLC,2001,booked
ERP-300227,REF-341162,22-01-2026,12558.38,USD,Rhodes Ltd,4010,booked
ERP-300228,REF-973846,24-03-2026,11988.55,GBP,White-Wilson,2001,booked
ERP-300229,REF-327114,11-01-2026,21965.76,GBP,"Rodriguez, Sutton and Santiago",2001,booked
ERP-300230,REF-117367,14-01-2026,5764.6,EUR,Reeves Ltd,2001,booked
ERP-300231,REF-541119,08-03-2026,22426.8,GBP,"Fleming, King and Herring",2001,booked
ERP-300232,REF-298202,02-02-2026,7099.59,GBP,Costa and Sons,3050,booked
ERP-300233,REF-483405,14-03-2026,6551.04,GBP,Best Inc,4010,booked
ERP-300234,REF-340932,06-04-2026,18401.17,GBP,Peterson LLC,4010,booked
ERP-300235,REF-375871,09-01-2026,23148.4,EUR,"Best, Simon and Turner",3050,booked
ERP-300236,REF-832377,08-03-2026,4888.79,GBP,"Liu, Parsons and Delacruz",2001,booked
ERP-300237,REF-970071,03-04-2026,22981.46,GBP,"Rodriguez, Sutton and Santiago",2001,booked
ERP-300238,REF-638220,13-04-2026,12591.65,EUR,"Miller, Anderson and Padilla",2001,booked
ERP-300239,REF-764442,18-02-2026,12062.2,EUR,Smith and Sons,2002,booked
ERP-300240,REF-701581,25-04-2026,11926.97,EUR,Hunt PLC,3050,booked
ERP-300241,REF-182300,28-04-2026,3920.99,USD,Barrera Group,3050,booked
ERP-300242,,07-01-2026,9962.04,GBP,"Hernandez, Wade and Rodriguez",2002,booked
ERP-300243,REF-742544,16-02-2026,9501.21,USD,"Martinez, Joseph and Simmons",2002,booked
ERP-300244,REF-204721,15-04-2026,14295.96,GBP,Nguyen-Roberts,3050,booked
ERP-300245,REF-695417,13-03-2026,19638.69,EUR,Davis Group,4010,booked
ERP-300246,REF-703869,15-03-2026,3052.91,GBP,Mullins-Cabrera,3050,booked
ERP-300247,REF-990136,21-02-2026,10559.87,GBP,"Roberts, Frazier and Smith",4010,booked
ERP-300248,,17-01-2026,10364.38,USD,Hughes Inc,4010,booked
ERP-300249,REF-748127,03-02-2026,13111.47,USD,Hawkins-Saunders,3050,booked
ERP-300250,REF-385647,30-04-2026,21609.42,EUR,Stone and Sons,2002,booked
ERP-300251,REF-532227,16-02-2026,20122.58,EUR,Ibarra-Clark,3050,booked
ERP-300252,REF-297731,17-02-2026,14935.17,USD,Hunter-Nicholson,3050,booked
ERP-300253,REF-403662,18-01-2026,10337.27,USD,Jones-Taylor,4010,booked
ERP-300254,,20-01-2026,18184.5,USD,Anderson LLC,4010,booked
ERP-300255,REF-982417,25-01-2026,1807.83,EUR,"Smith, Guerra and Holmes",2002,booked
ERP-300256,REF-438756,30-04-2026,11833.82,GBP,Todd-Oconnor,4010,booked
ERP-300257,REF-225461,16-03-2026,8129.72,USD,Jones-Graham,2001,booked
ERP-300258,REF-662407,31-03-2026,1517.88,GBP,Smith Ltd,2001,booked
ERP-300259,REF-669097,07-02-2026,12145.42,EUR,Walters LLC,4010,booked
ERP-300260,REF-869295,18-02-2026,42.98,GBP,"Owens, Peters and White",3050,booked
ERP-300261,REF-648615,13-01-2026,10259.87,EUR,Anderson Inc,3050,booked
ERP-300262,REF-318877,02-01-2026,1250.91,USD,"Chavez, Davis and Walton",2001,booked
ERP-300263,REF-201836,08-03-2026,20865.55,USD,"Ramirez, Hernandez and Fox",4010,booked
ERP-300264,REF-521063,12-03-2026,22073.53,USD,"Smith, Guerra and Holmes",2002,booked
ERP-300265,,16-02-2026,9392.2,GBP,Howard LLC,3050,booked
ERP-300266,REF-699378,15-03-2026,22979.82,GBP,Edwards-Boyd,2002,booked
ERP-300267,REF-605972,12-04-2026,18363.29,GBP,"Martinez, Joseph and Simmons",4010,booked
ERP-300268,REF-784488,06-04-2026,10427.63,USD,Hunt-Whitney,4010,booked
ERP-300269,REF-194458,06-03-2026,24276.73,GBP,"Edwards, Anderson and Taylor",2002,booked
ERP-300270,REF-611559,26-01-2026,19056.77,EUR,Walters LLC,4010,booked
ERP-300271,REF-722725,14-02-2026,9147.56,USD,Jimenez-Bradley,2001,booked
ERP-300272,REF-972881,22-04-2026,6095.13,GBP,Rivera-Stanley,2002,booked
ERP-300273,REF-711324,18-02-2026,17384.4,GBP,Li-Jones,3050,booked
ERP-300274,,22-04-2026,21610.45,USD,"Garcia, Mercado and West",3050,booked
ERP-300275,REF-463625,03-01-2026,8355.9,EUR,Mata Inc,4010,booked
ERP-300276,REF-810929,08-03-2026,16431.87,USD,"Rodriguez, Evans and Patterson",2002,booked
ERP-300277,REF-241822,27-04-2026,21568.13,EUR,Simmons-Green,4010,booked
ERP-300278,REF-961613,06-04-2026,24030.87,EUR,Fletcher-Pruitt,4010,booked
ERP-300279,REF-781121,02-04-2026,3373.81,GBP,Allen Ltd,2001,booked
ERP-300280,REF-440677,30-03-2026,4447.53,EUR,Rogers Inc,2002,booked
ERP-300281,REF-506216,13-03-2026,12979.6,EUR,Reynolds LLC,2002,booked
ERP-300282,REF-857750,12-01-2026,11602.88,GBP,"Hernandez, Hill and Hull",2001,booked
ERP-300283,REF-868881,02-04-2026,6270.81,GBP,Li-Montoya,2002,booked
ERP-300284,REF-846635,09-04-2026,4074.05,USD,Dickson Inc,4010,booked
ERP-300285,,31-01-2026,13598.94,USD,Skinner Ltd,2001,booked
ERP-300286,REF-191962,12-02-2026,16683.24,GBP,Davis-Mitchell,3050,booked
ERP-300287,REF-548081,08-04-2026,8087.48,EUR,Smith and Sons,3050,booked
ERP-300288,REF-703080,09-03-2026,10690.66,EUR,"Matthews, Howard and Brown",2001,booked
ERP-300289,REF-147702,22-02-2026,18443.27,USD,Kirk-Henson,3050,booked
ERP-300290,REF-130531,20-03-2026,8550.51,GBP,Richards-Johnson,4010,booked
ERP-300291,REF-692385,08-02-2026,23196.55,USD,Lawrence-Lee,4010,booked
ERP-300292,REF-508489,19-03-2026,15672.11,USD,"Roberts, Frazier and Smith",3050,booked
ERP-300293,REF-311915,10-04-2026,4395.94,EUR,"Bates, Diaz and Lowe",2001,booked
ERP-300294,REF-104309,15-01-2026,11497.73,GBP,Pena Inc,3050,booked
ERP-300295,REF-301898,26-01-2026,15980.3,USD,Jimenez-Bradley,3050,booked
ERP-300296,,01-05-2026,13745.41,EUR,Roberts LLC,4010,booked
ERP-300297,REF-472899,20-03-2026,9813.12,GBP,Hays-Dalton,3050,booked
ERP-300298,REF-342948,02-03-2026,17119.84,GBP,Cox-Hickman,4010,booked
ERP-300299,REF-465549,09-04-2026,11544.51,USD,"Molina, Wells and Bright",2002,booked
ERP-300300,REF-318353,13-02-2026,24347.95,EUR,"Owen, Gibson and Johnson",4010,booked
ERP-300301,REF-214027,18-03-2026,4424.95,EUR,"Adams, Rodriguez and Walker",2002,booked
ERP-300302,REF-706005,20-03-2026,11338.04,EUR,"Collins, Gardner and Shaw",3050,booked
ERP-300303,REF-837520,01-01-2026,1583.7,GBP,Johnson Inc,2002,booked
ERP-300304,REF-984293,19-02-2026,11884.91,USD,Edwards-Boyd,2002,booked
ERP-300305,REF-578180,21-04-2026,2139.47,GBP,Kirk-Henson,2002,booked
ERP-300306,REF-672696,29-04-2026,17810.45,EUR,Park-Daniels,2001,booked
ERP-300307,REF-595401,01-02-2026,13095.84,GBP,"Best, Simon and Turner",3050,booked
ERP-300308,REF-923154,04-04-2026,7247.98,USD,Wilson Ltd,3050,booked
ERP-300309,REF-999529,05-02-2026,6319.97,GBP,Robbins LLC,2001,booked
