transaction_id,payout_batch_id,reference,date,amount,currency,payee,description,source_status
TXN-100064,BATCH-1002,REF-208633,2026-02-15,24210.76,GBP,Todd-Oconnor,Vendor payout,approved
TXN-100065,BATCH-1002,REF-456331,2026-04-28,748.11,EUR,Newman-Thomas,Vendor payout,approved
TXN-100066,BATCH-1002,REF-695164,2026-04-10,9267.08,GBP,"Martinez, Joseph and Simmons",Vendor payout,approved
TXN-100067,BATCH-1002,REF-811444,2026-03-28,8645.69,USD,"Rodriguez, Sutton and Santiago",Vendor payout,approved
TXN-100068,BATCH-1002,REF-341288,2026-04-01,4412.98,EUR,"Bryant, Harrison and Carter",Vendor payout,approved
TXN-100069,BATCH-1002,REF-280222,2026-02-11,7255.64,EUR,Holmes and Sons,Vendor payout,approved
TXN-100070,BATCH-1002,REF-634723,2026-03-09,1932.57,GBP,Davenport PLC,Vendor payout,approved
TXN-100071,BATCH-1002,REF-814220,2026-02-27,11612.23,GBP,Gomez-Cardenas,Vendor payout,approved
TXN-100072,BATCH-1002,REF-972097,2026-02-17,11557.02,USD,Welch-Peck,Vendor payout,approved
TXN-100073,BATCH-1002,REF-950360,2026-01-14,12546.65,USD,"Shaw, Baker and Scott",Vendor payout,approved
TXN-100074,BATCH-1002,REF-761532,2026-04-12,10234.02,EUR,Flynn-Matthews,Vendor payout,approved
TXN-100075,BATCH-1003,REF-686072,2026-02-09,3245.57,GBP,White Group,Vendor payout,approved
TXN-100076,BATCH-1003,REF-410160,2026-01-10,4820.33,USD,"Frey, Mcgee and Bailey",Vendor payout,approved
TXN-100077,BATCH-1003,REF-740255,2026-02-26,10286.19,GBP,Lane-Hines,Vendor payout,approved
TXN-100078,BATCH-1003,REF-269930,2026-02-23,19458.65,GBP,"Waller, Bass and Mitchell",Vendor payout,approved
TXN-100079,BATCH-1003,REF-573041,2026-04-15,20780.39,USD,Mann Group,Vendor payout,approved
TXN-100080,BATCH-1003,REF-839808,2026-04-08,981.62,EUR,"Cox, Fernandez and Baker",Vendor payout,approved
TXN-100081,BATCH-1003,REF-216242,2026-01-09,15982.82,GBP,Farrell-Willis,Vendor payout,approved
TXN-100082,BATCH-1003,REF-924613,2026-03-06,1715.29,GBP,"Rice, Wallace and Castillo",Vendor payout,approved
TXN-100083,BATCH-1003,REF-953025,2026-02-13,3356.9,EUR,Prince-Martinez,Vendor payout,approved
TXN-100084,BATCH-1003,REF-669408,2026-04-15,23335.94,GBP,Fitzpatrick-Henderson,Vendor payout,approved
TXN-100085,BATCH-1003,REF-621691,2026-03-30,8492.44,USD,Arroyo-Pope,Vendor payout,approved
TXN-100086,BATCH-1003,REF-144412,2026-02-27,4186.95,EUR,Flynn Group,Vendor payout,approved
TXN-100087,BATCH-1003,REF-232361,2026-01-05,21220.52,GBP,Robinson and Sons,Vendor payout,approved
TXN-100088,BATCH-1003,REF-127172,2026-01-15,7876.78,EUR,"Martinez, Henderson and Osborne",Vendor payout,approved
TXN-100089,BATCH-1003,REF-848022,2026-04-26,21324.34,EUR,Anderson-Parks,Vendor payout,approved
TXN-100090,BATCH-1003,REF-928766,2026-01-31,3056.03,USD,"Cox, Fernandez and Baker",Vendor payout,approved
TXN-100091,BATCH-1003,REF-588461,2026-02-27,3155.04,EUR,Gonzalez-Pennington,Vendor payout,approved
TXN-100092,BATCH-1003,REF-182690,2026-04-19,8666.93,GBP,"Rodriguez, Sutton and Santiago",Vendor payout,approved
TXN-100093,BATCH-1003,REF-772612,2026-01-06,20635.28,USD,Cochran Inc,Vendor payout,approved
TXN-100094,BATCH-1003,REF-607774,2026-02-23,17223.12,USD,Rhodes Ltd,Vendor payout,approved
TXN-100095,BATCH-1003,REF-201514,2026-01-19,3084.98,EUR,Zimmerman Group,Vendor payout,approved
TXN-100096,BATCH-1003,REF-579441,2026-03-06,12446.82,USD,"Garner, Lawson and Richard",Vendor payout,approved
TXN-100097,BATCH-1003,REF-520040,2026-01-06,18194.51,EUR,Johnson-Ruiz,Vendor payout,approved
TXN-100098,BATCH-1003,REF-731728,2026-01-26,13956.85,EUR,"Dorsey, Patterson and Harrison",Vendor payout,approved
TXN-100099,BATCH-1003,REF-613641,2026-03-10,14853.27,GBP,Jones-Fuentes,Vendor payout,approved
TXN-100100,BATCH-1004,REF-961574,2026-01-19,4283.54,GBP,Wagner Ltd,Vendor payout,approved
TXN-100101,BATCH-1004,REF-440839,2026-03-13,17651.74,GBP,Ingram PLC,Vendor payout,approved
TXN-100102,BATCH-1004,REF-317346,2026-04-01,5641.05,EUR,"Jackson, Romero and Mendez",Vendor payout,approved
TXN-100103,BATCH-1004,REF-563864,2026-04-29,23883.96,USD,Pierce Inc,Vendor payout,approved
TXN-100104,BATCH-1004,REF-446337,2026-02-22,15957.67,USD,Cobb Group,Vendor payout,approved
TXN-100105,BATCH-1004,REF-661147,2026-01-30,22700.73,USD,Brown Ltd,Vendor payout,approved
TXN-100106,BATCH-1004,REF-451317,2026-04-29,7477.35,GBP,Kelly-Murphy,Vendor payout,approved
TXN-100107,BATCH-1004,REF-894068,2026-03-28,18422.03,EUR,"George, Lewis and Mitchell",Vendor payout,approved
TXN-100108,BATCH-1004,REF-710754,2026-02-08,5907.14,EUR,Harvey Inc,Vendor payout,approved
TXN-100109,BATCH-1004,REF-601410,2026-01-18,9204.41,USD,Jones Group,Vendor payout,approved
TXN-100110,BATCH-1004,REF-969032,2026-01-08,1975.62,GBP,Reynolds-Harris,Vendor payout,approved
TXN-100111,BATCH-1004,REF-160541,2026-03-14,3320.31,EUR,Reed PLC,Vendor payout,approved
TXN-100112,BATCH-1004,REF-401036,2026-01-05,23366.21,USD,Bowers Ltd,Vendor payout,approved
TXN-100113,BATCH-1004,REF-233533,2026-03-09,2987.86,GBP,"Garner, Lawson and Richard",Vendor payout,approved
TXN-100114,BATCH-1004,REF-948799,2026-01-05,4732.3,GBP,Reynolds-Harris,Vendor payout,approved
TXN-100115,BATCH-1004,REF-891030,2026-01-28,10071.58,USD,Stone and Sons,Vendor payout,approved
TXN-100116,BATCH-1004,REF-811721,2026-03-22,1547.42,GBP,Bryant LLC,Vendor payout,approved
TXN-100117,BATCH-1004,REF-585517,2026-04-14,7535.89,GBP,"Dorsey, Patterson and Harrison",Vendor payout,approved
TXN-100118,BATCH-1004,REF-176319,2026-04-22,1312.13,EUR,Reynolds LLC,Vendor payout,approved
TXN-100119,BATCH-1004,REF-733760,2026-03-31,18678.31,EUR,Jenkins-Henderson,Vendor payout,approved
TXN-100120,BATCH-1004,REF-428122,2026-02-17,19046.68,EUR,Walter Inc,Vendor payout,approved
TXN-100121,BATCH-1004,REF-900441,2026-02-02,12495.05,GBP,"Johnson, Phillips and Brown",Vendor payout,approved
TXN-100122,BATCH-1004,REF-106693,2026-04-08,23631.07,GBP,Gordon-Roberts,Vendor payout,approved
TXN-100123,BATCH-1004,REF-117538,2026-01-02,190.14,GBP,Park-Daniels,Vendor payout,approved
TXN-100124,BATCH-1004,REF-581294,2026-02-21,19878.53,USD,Dudley Ltd,Vendor payout,approved
TXN-100125,BATCH-1005,REF-554987,2026-04-19,17578.56,USD,Cooper PLC,Vendor payout,approved
TXN-100126,BATCH-1005,REF-790077,2026-03-14,17118.61,EUR,"Rice, Wallace and Castillo",Vendor payout,approved
TXN-100127,BATCH-1005,REF-822794,2026-04-12,9611.56,GBP,"Cox, Fernandez and Baker",Vendor payout,approved
TXN-100128,BATCH-1005,REF-493663,2026-05-01,12277.82,EUR,Griffin Inc,Vendor payout,approved
TXN-100129,BATCH-1005,REF-423241,2026-05-01,9033.49,USD,Dickson-Padilla,Vendor payout,approved
TXN-100130,BATCH-1005,REF-506637,2026-02-22,21596.36,USD,"Garcia, Mercado and West",Vendor payout,approved
TXN-100131,BATCH-1005,REF-920685,2026-03-03,10881.04,EUR,Mcclain-Jensen,Vendor payout,approved
TXN-100132,BATCH-1005,REF-551533,2026-02-12,20106.81,EUR,Rhodes Ltd,Vendor payout,approved
TXN-100133,BATCH-1005,REF-219420,2026-02-16,8164.01,EUR,"Garner, Lawson and Richard",Vendor payout,approved
TXN-100134,BATCH-1005,REF-364955,2026-01-31,16832.62,USD,Wilson Ltd,Vendor payout,approved
TXN-100135,BATCH-1005,REF-906306,2026-01-14,17548.32,GBP,White Group,Vendor payout,approved
TXN-100136,BATCH-1005,REF-821068,2026-03-16,12779.14,GBP,Gardner Inc,Vendor payout,approved
TXN-100137,BATCH-1005,REF-316916,2026-04-11,8724.51,EUR,Reed PLC,Vendor payout,approved
TXN-100138,BATCH-1005,REF-687044,2026-02-12,12911.95,GBP,Mcdowell-Watts,Vendor payout,approved
TXN-100139,BATCH-1005,REF-888870,2026-02-05,136.14,USD,"Peterson, Hood and Arroyo",Vendor payout,approved
TXN-100140,BATCH-1005,REF-580101,2026-04-19,14685.44,EUR,"Howell, Hart and Swanson",Vendor payout,approved
TXN-100141,BATCH-1005,REF-294776,2026-02-24,14920.73,GBP,Arnold-Beck,Vendor payout,approved
TXN-100142,BATCH-1005,REF-629990,2026-03-13,12128.11,USD,Arnold-Beck,Vendor payout,approved
TXN-100143,BATCH-1005,REF-218710,2026-03-07,14152.12,EUR,"Walker, Garcia and Mcguire",Vendor payout,approved
TXN-100144,BATCH-1005,REF-223088,2026-02-26,11257.07,EUR,Richard LLC,Vendor payout,approved
TXN-100145,BATCH-1005,REF-700556,2026-02-07,8108.25,GBP,"Garcia, Mercado and West",Vendor payout,approved
TXN-100146,BATCH-1005,REF-359579,2026-04-17,6260.69,GBP,Jimenez-Bradley,Vendor payout,approved
TXN-100147,BATCH-1005,REF-580718,2026-04-04,8199.05,USD,Leach-Walker,Vendor payout,approved
TXN-100148,BATCH-1005,REF-815707,2026-04-25,14164.4,EUR,"Curtis, Turner and Soto",Vendor payout,approved
TXN-100149,BATCH-1005,REF-387330,2026-04-22,22056.64,EUR,Mcdowell-Watts,Vendor payout,approved
TXN-100150,BATCH-1006,REF-566686,2026-03-29,3339.18,USD,Garcia Ltd,Vendor payout,approved
TXN-100151,BATCH-1006,REF-656278,2026-01-09,3449.8,USD,"Dorsey, Patterson and Harrison",Vendor payout,approved
TXN-100152,BATCH-1006,REF-429780,2026-02-24,14749.61,EUR,Flynn Group,Vendor payout,approved
TXN-100153,BATCH-1006,REF-218220,2026-02-19,19600.44,USD,Garcia and Sons,Vendor payout,approved
TXN-100154,BATCH-1006,REF-170813,2026-03-17,19074.08,USD,"Johnson, Harrison and Thomas",Vendor payout,approved
TXN-100155,BATCH-1006,REF-442622,2026-03-10,1998.56,USD,"Frey, Mcgee and Bailey",Vendor payout,approved
TXN-100156,BATCH-1006,REF-113280,2026-01-16,7749.52,GBP,Bryant LLC,Vendor payout,approved
TXN-100157,BATCH-1006,REF-577309,2026-03-05,6592.17,GBP,"Hernandez, Greer and Jackson",Vendor payout,approved
TXN-100158,BATCH-1006,REF-999138,2026-04-30,9115.31,USD,Dickson Inc,Vendor payout,approved
TXN-100159,BATCH-1006,REF-172274,2026-02-21,4504.13,GBP,"Santana, Hoffman and Cobb",Vendor payout,approved
TXN-100160,BATCH-1006,REF-934638,2026-04-08,24944.73,USD,Prince-Martinez,Vendor payout,approved
TXN-100161,BATCH-1006,REF-146032,2026-01-12,24314.67,USD,Robbins LLC,Vendor payout,approved
TXN-100162,BATCH-1006,REF-373668,2026-02-07,10888.7,USD,Lane-Hines,Vendor payout,approved
TXN-100163,BATCH-1006,REF-661957,2026-01-16,11252.93,EUR,Lewis-Robinson,Vendor payout,approved
TXN-100164,BATCH-1006,REF-810078,2026-01-07,24210.79,EUR,Fitzgerald PLC,Vendor payout,approved
TXN-100165,BATCH-1006,REF-760914,2026-03-29,3289.61,EUR,Brown-Huynh,Vendor payout,approved
TXN-100166,BATCH-1006,REF-859620,2026-04-16,1289.68,GBP,"Gray, Williams and Weaver",Vendor payout,approved
TXN-100167,BATCH-1006,REF-191982,2026-01-08,10314.51,GBP,Webster and Sons,Vendor payout,approved
TXN-100168,BATCH-1006,REF-726121,2026-02-10,9724.82,USD,Thornton and Sons,Vendor payout,approved
TXN-100169,BATCH-1006,REF-936124,2026-04-19,19107.14,USD,"Edwards, Anderson and Taylor",Vendor payout,approved
TXN-100170,BATCH-1006,REF-284084,2026-02-09,20921.5,EUR,Morris Inc,Vendor payout,approved
TXN-100171,BATCH-1006,REF-651860,2026-04-19,14675.56,USD,Anderson Inc,Vendor payout,approved
TXN-100172,BATCH-1006,REF-743520,2026-03-30,16238.28,USD,Roberts Group,Vendor payout,approved
TXN-100173,BATCH-1006,REF-693022,2026-03-23,4572.49,EUR,Mann Group,Vendor payout,approved
TXN-100174,BATCH-1006,REF-504684,2026-01-07,6435.03,USD,Joseph Group,Vendor payout,approved
TXN-100175,BATCH-1007,REF-434198,2026-01-03,19984.88,USD,Bowman LLC,Vendor payout,approved
TXN-100176,BATCH-1007,REF-156157,2026-01-21,23562.5,USD,Perez-Neal,Vendor payout,approved
TXN-100177,BATCH-1007,REF-794178,2026-04-16,120.29,USD,Bowman LLC,Vendor payout,approved
TXN-100178,BATCH-1007,REF-567429,2026-01-24,4642.41,EUR,Goodwin-Martinez,Vendor payout,approved
TXN-100179,BATCH-1007,REF-661527,2026-02-23,13851.21,EUR,Pena Inc,Vendor payout,approved
TXN-100180,BATCH-1007,REF-302087,2026-04-14,4342.65,USD,Brown LLC,Vendor payout,approved
TXN-100181,BATCH-1007,REF-539976,2026-04-11,22931.12,USD,Pena Inc,Vendor payout,approved
TXN-100182,BATCH-1007,REF-388792,2026-01-23,14311.28,EUR,"Bates, Diaz and Lowe",Vendor payout,approved
TXN-100183,BATCH-1007,REF-339030,2026-04-22,7790.96,EUR,"Evans, Conway and Hall",Vendor payout,approved
TXN-100184,BATCH-1007,REF-426236,2026-01-09,20529.91,GBP,Mcdowell-Watts,Vendor payout,approved
TXN-100185,BATCH-1007,REF-766275,2026-02-20,9224.59,EUR,Banks-Savage,Vendor payout,approved
TXN-100186,BATCH-1007,REF-332103,2026-04-20,1265.03,GBP,Wright Group,Vendor payout,approved
TXN-100187,BATCH-1007,REF-494763,2026-02-24,17825.69,GBP,Vincent-Mcclure,Vendor payout,approved
TXN-100188,BATCH-1007,REF-845635,2026-03-25,16023.85,EUR,"Hansen, Herrera and Taylor",Vendor payout,approved
TXN-100189,BATCH-1007,REF-137034,2026-04-05,22675.12,EUR,Bauer Inc,Vendor payout,approved
TXN-100190,BATCH-1007,REF-291961,2026-04-08,3220.4,EUR,Walters LLC,Vendor payout,approved
TXN-100191,BATCH-1007,REF-813763,2026-01-16,11818.69,USD,Colon Group,Vendor payout,approved
TXN-100192,BATCH-1007,REF-160831,2026-03-23,8332.42,USD,Davis PLC,Vendor payout,approved
TXN-100193,BATCH-1007,REF-866151,2026-01-26,9598.33,USD,Shaw-Decker,Vendor payout,approved
TXN-100194,BATCH-1007,REF-578073,2026-02-07,4196.33,USD,Davis-Mitchell,Vendor payout,approved
TXN-100195,BATCH-1007,REF-122977,2026-04-04,18186.04,USD,Brown LLC,Vendor payout,approved
TXN-100196,BATCH-1007,REF-365015,2026-03-12,10433.97,EUR,"Pineda, Travis and Jones",Vendor payout,approved
TXN-100197,BATCH-1007,REF-375769,2026-04-10,12456.03,GBP,Walters PLC,Vendor payout,approved
TXN-100198,BATCH-1007,REF-858711,2026-01-10,3749.88,USD,"Liu, Parsons and Delacruz",Vendor payout,approved
TXN-100199,BATCH-1007,REF-245117,2026-04-20,2397.59,USD,"Garza, Barker and Maddox",Vendor payout,approved
TXN-100200,BATCH-1008,REF-935620,2026-03-25,17255.31,EUR,Dickson-Gutierrez,Vendor payout,approved
TXN-100201,BATCH-1008,REF-531262,2026-04-24,12089.91,EUR,Reynolds-Harris,Vendor payout,approved
TXN-100202,BATCH-1008,REF-979789,2026-01-20,12061.19,GBP,Pennington PLC,Vendor payout,approved
TXN-100203,BATCH-1008,REF-346415,2026-04-15,13773.63,EUR,"Graham, Garrett and Caldwell",Vendor payout,approved
TXN-100204,BATCH-1008,REF-804091,2026-03-25,22255.52,GBP,"Peterson, Hood and Arroyo",Vendor payout,approved
TXN-100205,BATCH-1008,REF-492052,2026-03-08,20751.35,EUR,Hunter-Nicholson,Vendor payout,approved
TXN-100206,BATCH-1008,REF-764000,2026-01-06,17926.78,USD,Kirk-Henson,Vendor payout,approved
TXN-100207,BATCH-1008,REF-789461,2026-02-19,18269.1,USD,Hawkins-Saunders,Vendor payout,approved
TXN-100208,BATCH-1008,REF-984027,2026-02-08,3476.05,GBP,Fitzgerald PLC,Vendor payout,approved
TXN-100209,BATCH-1008,REF-711116,2026-03-03,17766.06,EUR,Roberts Group,Vendor payout,approved
TXN-100210,BATCH-1008,REF-362732,2026-03-29,6692.78,USD,Johnson-Newton,Vendor payout,approved
TXN-100211,BATCH-1008,REF-818430,2026-04-11,23163.96,EUR,"Payne, Wall and Hernandez",Vendor payout,approved
TXN-100212,BATCH-1008,REF-495521,2026-01-16,4694.74,USD,Hickman-Walter,Vendor payout,approved
TXN-100213,BATCH-1008,REF-176421,2026-02-15,12276.51,GBP,"Walker, Garcia and Mcguire",Vendor payout,approved
TXN-100214,BATCH-1008,REF-688602,2026-03-02,5480.67,GBP,Wilson and Sons,Vendor payout,approved
TXN-100215,BATCH-1008,REF-941814,2026-03-07,642.03,GBP,Dudley Ltd,Vendor payout,approved
TXN-100216,BATCH-1008,REF-836879,2026-04-17,20895.74,USD,Murray Group,Vendor payout,approved
TXN-100217,BATCH-1008,REF-760830,2026-02-27,22776.89,EUR,Bauer Inc,Vendor payout,approved
TXN-100218,BATCH-1008,REF-514306,2026-02-18,15173.98,EUR,Robinson and Sons,Vendor payout,approved
TXN-100219,BATCH-1008,REF-143802,2026-01-16,13849.27,GBP,Roberts LLC,Vendor payout,approved
TXN-100220,BATCH-1008,REF-290167,2026-01-15,15431.7,EUR,Maxwell-Shepherd,Vendor payout,approved
TXN-100221,BATCH-1008,REF-398987,2026-01-13,3227.17,GBP,Rodriguez LLC,Vendor payout,approved
TXN-100222,BATCH-1008,REF-980919,2026-02-05,19646.86,GBP,"Moss, Atkins and Daniels",Vendor payout,approved
TXN-100223,BATCH-1008,REF-757057,2026-04-04,22285.14,USD,"Hayes, Luna and Miller",Vendor payout,approved
TXN-100224,BATCH-1008,REF-587274,2026-01-18,9161.32,USD,Zimmerman and Sons,Vendor payout,approved
TXN-100225,BATCH-1009,REF-611329,2026-04-08,23480.9,USD,Jones Group,Vendor payout,approved
TXN-100226,BATCH-1009,REF-785428,2026-02-18,14476.32,GBP,Bryant LLC,Vendor payout,approved
TXN-100227,BATCH-1009,REF-341162,2026-01-22,12558.38,USD,Rhodes Ltd,Vendor payout,approved
TXN-100228,BATCH-1009,REF-973846,2026-03-24,11988.55,GBP,White-Wilson,Vendor payout,approved
TXN-100229,BATCH-1009,REF-327114,2026-01-11,21965.76,GBP,"Rodriguez, Sutton and Santiago",Vendor payout,approved
TXN-100230,BATCH-1009,REF-117367,2026-01-14,5764.6,EUR,Reeves Ltd,Vendor payout,approved
TXN-100231,BATCH-1009,REF-541119,2026-03-08,22426.8,GBP,"Fleming, King and Herring",Vendor payout,approved
TXN-100232,BATCH-1009,REF-298202,2026-02-02,7099.59,GBP,Costa and Sons,Vendor payout,approved
TXN-100233,BATCH-1009,REF-483405,2026-03-14,6551.04,GBP,Best Inc,Vendor payout,approved
TXN-100234,BATCH-1009,REF-340932,2026-04-06,18401.17,GBP,Peterson LLC,Vendor payout,approved
TXN-100235,BATCH-1009,REF-375871,2026-01-09,23148.4,EUR,"Best, Simon and Turner",Vendor payout,approved
TXN-100236,BATCH-1009,REF-832377,2026-03-08,4888.79,GBP,"Liu, Parsons and Delacruz",Vendor payout,approved
TXN-100237,BATCH-1009,REF-970071,2026-04-03,22981.46,GBP,"Rodriguez, Sutton and Santiago",Vendor payout,approved
TXN-100238,BATCH-1009,REF-638220,2026-04-13,12591.65,EUR,"Miller, Anderson and Padilla",Vendor payout,approved
TXN-100239,BATCH-1009,REF-764442,2026-02-18,12062.2,EUR,Smith and Sons,Vendor payout,approved
TXN-100240,BATCH-1009,REF-701581,2026-04-25,11926.97,EUR,Hunt PLC,Vendor payout,approved
TXN-100241,BATCH-1009,REF-182300,2026-04-28,3920.99,USD,Barrera Group,Vendor payout,approved
TXN-100242,BATCH-1009,REF-651273,2026-01-07,9962.04,GBP,"Hernandez, Wade and Rodriguez",Vendor payout,approved
