stripe_id,reference,date,gross_amount,fee,net_amount,currency,payee,status
po_8558197,REF-317881,2026-04-07T00:00:00Z,15285.310000000001,9.93,15250.53,GBP,"Evans, Conway and Hall",settled
po_5456573,REF-344762,2026-03-28T00:00:00Z,17623.61,2.36,17582.11,EUR,"Chavez, Davis and Walton",pending
po_1433940,REF-522060,2026-03-30T00:00:00Z,10998.34,19.28,10992.86,EUR,Wilson Ltd,settled
po_6591986,REF-783157,2026-03-07T00:00:00Z,14433.5,2.99,14416.77,USD,Allen Ltd,pending
po_8750676,REF-576919,2026-01-04T00:00:00Z,7244.49,4.56,7223.24,EUR,"Walker, Garcia and Mcguire",failed
po_3657144,REF-675898,2026-02-03T00:00:00Z,15660.81,1.26,15644.58,USD,Walter Inc,processing
po_4197911,REF-851413,2026-03-04T00:00:00Z,11595.83,10.66,11549.66,USD,Smith Ltd,pending
po_6790218,REF-925981,2026-04-29T00:00:00Z,19339.850000000002,15.49,19322.56,EUR,"Wilson, Robertson and Gonzalez",processing
po_3551903,REF-501574,2026-03-14T00:00:00Z,21768.57,1.7,21743.3,GBP,"Johnson, Meyer and Hanna",failed
po_6512415,REF-251157,2026-04-02T00:00:00Z,2558.0600000000004,17.33,2515.3,EUR,"Robinson, Bauer and Brown",processing
po_8443690,REF-761820,2026-01-30T00:00:00Z,21821.920000000002,6.69,21812.77,USD,"Adams, Rodriguez and Walker",settled
po_9349470,REF-356059,2026-01-18T00:00:00Z,7397.589999999999,3.72,7351.86,EUR,"Fleming, King and Herring",processing
po_8664433,REF-401603,2026-04-25T00:00:00Z,6444.2,4.79,6401.78,USD,Cox-Hickman,processing
po_9333700,REF-410244,2026-03-14T00:00:00Z,5991.02,18.16,5949.21,GBP,Robinson Group,pending
po_8395785,REF-892280,2026-03-27T00:00:00Z,5497.27,7.93,5494.64,USD,Davis Group,pending
po_5951651,REF-238579,2026-01-25T00:00:00Z,8222.390000000001,7.44,8184.81,EUR,Bryant LLC,settled
po_7392547,REF-943671,2026-04-18T00:00:00Z,3581.71,18.87,3540.41,USD,Fitzpatrick-Henderson,settled
po_1624315,REF-739717,2026-04-27T00:00:00Z,665.9,10.36,649.99,GBP,Thompson-Washington,settled
po_1548888,REF-715870,2026-02-22T00:00:00Z,9766.25,5.13,9731.43,EUR,Stone and Sons,processing
po_1848566,REF-776149,2026-03-10T00:00:00Z,2545.9300000000003,5.63,2506.38,GBP,Shaw-Stuart,pending
po_5205279,REF-326441,2026-03-16T00:00:00Z,1778.67,3.09,1738.54,GBP,Ingram PLC,settled
po_8583392,REF-282710,2026-01-02T00:00:00Z,19780.559999999998,18.96,19754.87,USD,"Fox, Hernandez and Ryan",settled
po_2101965,REF-988456,2026-03-02T00:00:00Z,11471.79,12.86,11464.61,USD,Roach and Sons,failed
po_6686328,REF-931621,2026-01-12T00:00:00Z,11398.080000000002,8.58,11356.54,GBP,"Fleming, King and Herring",settled
po_3050700,REF-597305,2026-03-28T00:00:00Z,16657.2,17.6,16636.07,EUR,Smith Ltd,processing
po_5673599,REF-208633,2026-02-14T00:00:00Z,24239.89,16.34,24210.76,GBP,Todd-Oconnor,settled
po_2539438,REF-456331,2026-04-27T00:00:00Z,785.6700000000001,5.09,748.11,EUR,Newman-Thomas,processing
po_9148051,REF-695164,2026-04-09T00:00:00Z,9297.83,8.87,9267.08,GBP,"Martinez, Joseph and Simmons",pending
po_3302417,REF-811444,2026-03-27T00:00:00Z,8684.130000000001,6.5,8645.69,USD,"Rodriguez, Sutton and Santiago",settled
po_8713396,REF-341288,2026-03-31T00:00:00Z,4459.12,17.38,4412.98,EUR,"Bryant, Harrison and Carter",processing
po_9790632,REF-280222,2026-02-10T00:00:00Z,7260.490000000001,17.54,7255.64,EUR,Holmes and Sons,failed
po_3910830,REF-634723,2026-03-08T00:00:00Z,1963.09,15.44,1932.57,GBP,Davenport PLC,settled
po_6080483,REF-814220,2026-02-26T00:00:00Z,11652.25,12.24,11612.23,GBP,Gomez-Cardenas,failed
po_8545279,REF-972097,2026-02-16T00:00:00Z,11602.560000000001,11.86,11557.02,USD,Welch-Peck,pending
po_9792411,REF-950360,2026-01-13T00:00:00Z,12573.26,4.02,12546.65,USD,"Shaw, Baker and Scott",failed
po_6592886,REF-761532,2026-04-11T00:00:00Z,10239.01,13.61,10234.02,EUR,Flynn-Matthews,failed
po_1305857,REF-686072,2026-02-08T00:00:00Z,3264.34,4.42,3245.57,GBP,White Group,pending
po_7320310,REF-410160,2026-01-09T00:00:00Z,4828.89,4.44,4820.33,USD,"Frey, Mcgee and Bailey",pending
po_4255051,REF-740255,2026-02-25T00:00:00Z,10305.210000000001,19.0,10286.19,GBP,Lane-Hines,processing
po_9655523,REF-269930,2026-02-22T00:00:00Z,19501.36,6.42,19458.65,GBP,"Waller, Bass and Mitchell",pending
po_4767135,REF-573041,2026-04-14T00:00:00Z,20782.77,18.69,20780.39,USD,Mann Group,failed
po_2865405,REF-839808,2026-04-07T00:00:00Z,1020.65,5.52,981.62,EUR,"Cox, Fernandez and Baker",settled
po_5035998,REF-216242,2026-01-08T00:00:00Z,16011.779999999999,4.56,15982.82,GBP,Farrell-Willis,settled
po_6991041,REF-924613,2026-03-05T00:00:00Z,1754.93,7.55,1715.29,GBP,"Rice, Wallace and Castillo",settled
po_8678589,REF-953025,2026-02-12T00:00:00Z,3359.71,4.83,3356.9,EUR,Prince-Martinez,pending
po_5583814,REF-669408,2026-04-14T00:00:00Z,23343.039999999997,7.99,23335.94,GBP,Fitzpatrick-Henderson,processing
po_5928582,REF-621691,2026-03-29T00:00:00Z,8509.18,2.52,8492.44,USD,Arroyo-Pope,failed
po_2258981,REF-144412,2026-02-26T00:00:00Z,4220.84,8.72,4186.95,EUR,Flynn Group,pending
po_7241348,REF-232361,2026-01-04T00:00:00Z,21243.27,2.46,21220.52,GBP,Robinson and Sons,pending
po_4599894,REF-127172,2026-01-14T00:00:00Z,7926.599999999999,6.43,7876.78,EUR,"Martinez, Henderson and Osborne",processing
po_6032437,REF-848022,2026-04-25T00:00:00Z,21367.06,14.52,21324.34,EUR,Anderson-Parks,pending
po_7680015,REF-928766,2026-01-30T00:00:00Z,3106.01,14.66,3056.03,USD,"Cox, Fernandez and Baker",processing
po_3083077,REF-588461,2026-02-26T00:00:00Z,3181.43,6.78,3155.04,EUR,Gonzalez-Pennington,pending
po_3586950,REF-182690,2026-04-18T00:00:00Z,8676.32,12.87,8666.93,GBP,"Rodriguez, Sutton and Santiago",failed
po_6068298,REF-772612,2026-01-05T00:00:00Z,20659.94,16.29,20635.28,USD,Cochran Inc,processing
po_3193891,REF-607774,2026-02-22T00:00:00Z,17261.39,10.78,17223.12,USD,Rhodes Ltd,settled
po_6246485,REF-201514,2026-01-18T00:00:00Z,3095.28,4.03,3084.98,EUR,Zimmerman Group,processing
po_5794062,REF-579441,2026-03-05T00:00:00Z,12474.119999999999,17.1,12446.82,USD,"Garner, Lawson and Richard",processing
po_2993318,REF-520040,2026-01-05T00:00:00Z,18201.809999999998,2.84,18194.51,EUR,Johnson-Ruiz,failed
po_9648751,REF-731728,2026-01-25T00:00:00Z,13964.7,18.7,13956.85,EUR,"Dorsey, Patterson and Harrison",failed
po_8962302,REF-613641,2026-03-09T00:00:00Z,14867.28,13.46,14853.27,GBP,Jones-Fuentes,pending
po_7928320,REF-961574,2026-01-18T00:00:00Z,4318.37,8.8,4283.54,GBP,Wagner Ltd,processing
po_5435261,REF-440839,2026-03-12T00:00:00Z,17682.63,4.65,17651.74,GBP,Ingram PLC,pending
po_7619156,REF-317346,2026-03-31T00:00:00Z,5682.150000000001,19.14,5641.05,EUR,"Jackson, Romero and Mendez",pending
po_2832517,REF-563864,2026-04-28T00:00:00Z,23915.129999999997,12.15,23883.96,USD,Pierce Inc,pending
po_9010256,REF-446337,2026-02-21T00:00:00Z,15990.55,15.36,15957.67,USD,Cobb Group,failed
po_7660463,REF-661147,2026-01-29T00:00:00Z,22740.34,4.54,22700.73,USD,Brown Ltd,failed
po_2889899,REF-451317,2026-04-28T00:00:00Z,7494.55,14.89,7477.35,GBP,Kelly-Murphy,failed
po_4100114,REF-894068,2026-03-27T00:00:00Z,18471.129999999997,10.07,18422.03,EUR,"George, Lewis and Mitchell",pending
po_3679603,REF-710754,2026-02-07T00:00:00Z,5928.01,10.55,5907.14,EUR,Harvey Inc,failed
po_5151780,REF-601410,2026-01-17T00:00:00Z,9238.75,12.32,9204.41,USD,Jones Group,settled
po_4446065,REF-969032,2026-01-07T00:00:00Z,2011.75,10.29,1975.62,GBP,Reynolds-Harris,processing
po_2225232,REF-160541,2026-03-13T00:00:00Z,3323.5299999999997,7.55,3320.31,EUR,Reed PLC,settled
po_7333337,REF-401036,2026-01-04T00:00:00Z,23385.62,13.97,23366.21,USD,Bowers Ltd,pending
po_9924365,REF-233533,2026-03-08T00:00:00Z,3007.44,5.36,2987.86,GBP,"Garner, Lawson and Richard",processing
po_8490038,REF-948799,2026-01-04T00:00:00Z,4762.59,14.36,4732.3,GBP,Reynolds-Harris,settled
po_4974590,REF-891030,2026-01-27T00:00:00Z,10087.37,3.72,10071.58,USD,Stone and Sons,pending
po_7849452,REF-811721,2026-03-21T00:00:00Z,1555.73,8.15,1547.42,GBP,Bryant LLC,processing
po_2326581,REF-585517,2026-04-13T00:00:00Z,7582.08,17.1,7535.89,GBP,"Dorsey, Patterson and Harrison",settled
po_6086650,REF-176319,2026-04-21T00:00:00Z,1360.0200000000002,1.29,1312.13,EUR,Reynolds LLC,pending
po_6174467,REF-733760,2026-03-30T00:00:00Z,18692.13,10.74,18678.31,EUR,Jenkins-Henderson,processing
po_5952504,REF-428122,2026-02-16T00:00:00Z,19055.15,7.27,19046.68,EUR,Walter Inc,processing
po_9192588,REF-900441,2026-02-01T00:00:00Z,12505.07,17.9,12495.05,GBP,"Johnson, Phillips and Brown",settled
po_2014184,REF-106693,2026-04-07T00:00:00Z,23662.34,13.67,23631.07,GBP,Gordon-Roberts,processing
po_2615878,REF-117538,2026-01-01T00:00:00Z,216.82999999999998,5.58,190.14,GBP,Park-Daniels,failed
po_2568678,REF-581294,2026-02-20T00:00:00Z,19899.39,8.17,19878.53,USD,Dudley Ltd,processing
po_4546989,REF-554987,2026-04-18T00:00:00Z,17623.72,14.15,17578.56,USD,Cooper PLC,processing
po_2290796,REF-790077,2026-03-13T00:00:00Z,17134.27,11.72,17118.61,EUR,"Rice, Wallace and Castillo",processing
po_7655572,REF-822794,2026-04-11T00:00:00Z,9660.039999999999,7.2,9611.56,GBP,"Cox, Fernandez and Baker",failed
po_5495824,REF-493663,2026-04-30T00:00:00Z,12286.38,14.52,12277.82,EUR,Griffin Inc,pending
po_2732967,REF-423241,2026-04-30T00:00:00Z,9035.78,7.72,9033.49,USD,Dickson-Padilla,settled
po_3843767,REF-506637,2026-02-21T00:00:00Z,21604.16,6.72,21596.36,USD,"Garcia, Mercado and West",processing
po_3273137,REF-920685,2026-03-02T00:00:00Z,10896.970000000001,19.03,10881.04,EUR,Mcclain-Jensen,failed
po_6354241,REF-551533,2026-02-11T00:00:00Z,20122.09,14.2,20106.81,EUR,Rhodes Ltd,processing
po_8356053,REF-219420,2026-02-15T00:00:00Z,8204.1,16.79,8164.01,EUR,"Garner, Lawson and Richard",settled
po_9965197,REF-364955,2026-01-30T00:00:00Z,16858.44,18.49,16832.62,USD,Wilson Ltd,processing
po_6563269,REF-906306,2026-01-13T00:00:00Z,17596.64,9.18,17548.32,GBP,White Group,settled
po_5956530,REF-821068,2026-03-15T00:00:00Z,12800.519999999999,19.27,12779.14,GBP,Gardner Inc,settled
po_1378915,REF-316916,2026-04-10T00:00:00Z,8767.12,13.31,8724.51,EUR,Reed PLC,pending
po_1489765,REF-687044,2026-02-11T00:00:00Z,12949.08,17.78,12911.95,GBP,Mcdowell-Watts,processing
po_5401559,REF-888870,2026-02-04T00:00:00Z,170.0,10.3,136.14,USD,"Peterson, Hood and Arroyo",failed
po_6123426,REF-580101,2026-04-18T00:00:00Z,14692.17,8.09,14685.44,EUR,"Howell, Hart and Swanson",pending
po_4138993,REF-294776,2026-02-23T00:00:00Z,14937.14,9.57,14920.73,GBP,Arnold-Beck,settled
po_4699871,REF-629990,2026-03-12T00:00:00Z,12143.42,6.22,12128.11,USD,Arnold-Beck,failed
po_4666525,REF-218710,2026-03-06T00:00:00Z,14201.62,2.95,14152.12,EUR,"Walker, Garcia and Mcguire",pending
po_4471922,REF-223088,2026-02-25T00:00:00Z,11297.539999999999,11.83,11257.07,EUR,Richard LLC,failed
po_1994652,REF-700556,2026-02-06T00:00:00Z,8157.88,17.47,8108.25,GBP,"Garcia, Mercado and West",pending
po_7758714,REF-359579,2026-04-16T00:00:00Z,6286.96,6.29,6260.69,GBP,Jimenez-Bradley,failed
po_9299939,REF-580718,2026-04-03T00:00:00Z,8213.21,16.74,8199.05,USD,Leach-Walker,failed
po_8659103,REF-815707,2026-04-24T00:00:00Z,14165.43,19.2,14164.4,EUR,"Curtis, Turner and Soto",pending
po_8201300,REF-387330,2026-04-21T00:00:00Z,22089.76,14.37,22056.64,EUR,Mcdowell-Watts,settled
po_7426846,REF-566686,2026-03-28T00:00:00Z,3344.56,16.31,3339.18,USD,Garcia Ltd,settled
po_8421969,REF-656278,2026-01-08T00:00:00Z,3492.94,2.65,3449.8,USD,"Dorsey, Patterson and Harrison",settled
po_4446807,REF-429780,2026-02-23T00:00:00Z,14775.980000000001,10.68,14749.61,EUR,Flynn Group,processing
po_7490068,REF-218220,2026-02-18T00:00:00Z,19643.62,11.8,19600.44,USD,Garcia and Sons,failed
po_8106413,REF-170813,2026-03-16T00:00:00Z,19109.47,2.57,19074.08,USD,"Johnson, Harrison and Thomas",pending
po_1971500,REF-442622,2026-03-09T00:00:00Z,2011.54,18.57,1998.56,USD,"Frey, Mcgee and Bailey",settled
po_2980663,REF-113280,2026-01-15T00:00:00Z,7788.320000000001,1.56,7749.52,GBP,Bryant LLC,processing
po_4831990,REF-577309,2026-03-04T00:00:00Z,6629.47,1.05,6592.17,GBP,"Hernandez, Greer and Jackson",settled
po_5550953,REF-999138,2026-04-29T00:00:00Z,9156.779999999999,11.86,9115.31,USD,Dickson Inc,settled
po_5892153,REF-172274,2026-02-20T00:00:00Z,4532.76,6.77,4504.13,GBP,"Santana, Hoffman and Cobb",pending
po_6159172,REF-934638,2026-04-07T00:00:00Z,24950.82,11.07,24944.73,USD,Prince-Martinez,pending
po_9479670,REF-146032,2026-01-11T00:00:00Z,24322.21,16.58,24314.67,USD,Robbins LLC,settled
po_4400953,REF-373668,2026-02-06T00:00:00Z,10896.37,15.63,10888.7,USD,Lane-Hines,settled
po_1676621,REF-661957,2026-01-15T00:00:00Z,11264.470000000001,17.27,11252.93,EUR,Lewis-Robinson,pending
po_8751799,REF-810078,2026-01-06T00:00:00Z,24216.780000000002,16.08,24210.79,EUR,Fitzgerald PLC,settled
po_3160763,REF-760914,2026-03-28T00:00:00Z,3295.1200000000003,17.1,3289.61,EUR,Brown-Huynh,failed
po_8482830,REF-859620,2026-04-15T00:00:00Z,1333.97,1.66,1289.68,GBP,"Gray, Williams and Weaver",pending
po_7417252,REF-191982,2026-01-07T00:00:00Z,10353.82,7.82,10314.51,GBP,Webster and Sons,processing
po_3678059,REF-726121,2026-02-09T00:00:00Z,9730.73,13.48,9724.82,USD,Thornton and Sons,failed
po_1473227,REF-936124,2026-04-18T00:00:00Z,19142.61,7.68,19107.14,USD,"Edwards, Anderson and Taylor",pending
po_3189251,REF-284084,2026-02-08T00:00:00Z,20939.2,4.37,20921.5,EUR,Morris Inc,failed
po_3289279,REF-651860,2026-04-18T00:00:00Z,14724.38,14.91,14675.56,USD,Anderson Inc,processing
po_1030163,REF-743520,2026-03-29T00:00:00Z,16285.77,19.03,16238.28,USD,Roberts Group,processing
po_6632941,REF-693022,2026-03-22T00:00:00Z,4595.37,6.04,4572.49,EUR,Mann Group,pending
po_2701688,REF-504684,2026-01-06T00:00:00Z,6476.639999999999,15.99,6435.03,USD,Joseph Group,pending
po_6669869,REF-434198,2026-01-02T00:00:00Z,20014.99,12.66,19984.88,USD,Bowman LLC,processing
po_1832744,REF-156157,2026-01-20T00:00:00Z,23582.75,11.44,23562.5,USD,Perez-Neal,processing
po_6173311,REF-794178,2026-04-15T00:00:00Z,159.75,9.95,120.29,USD,Bowman LLC,failed
po_2437930,REF-567429,2026-01-23T00:00:00Z,4676.15,16.36,4642.41,EUR,Goodwin-Martinez,processing
po_9423864,REF-661527,2026-02-22T00:00:00Z,13880.199999999999,10.82,13851.21,EUR,Pena Inc,pending
po_2460078,REF-302087,2026-04-13T00:00:00Z,4362.67,8.55,4342.65,USD,Brown LLC,failed
po_5799841,REF-539976,2026-04-10T00:00:00Z,22974.629999999997,17.72,22931.12,USD,Pena Inc,processing
po_1826965,REF-388792,2026-01-22T00:00:00Z,14348.820000000002,18.5,14311.28,EUR,"Bates, Diaz and Lowe",failed
po_4153037,REF-339030,2026-04-21T00:00:00Z,7813.6,18.36,7790.96,EUR,"Evans, Conway and Hall",processing
po_1966829,REF-426236,2026-01-08T00:00:00Z,20543.14,9.67,20529.91,GBP,Mcdowell-Watts,failed
po_6775539,REF-766275,2026-02-19T00:00:00Z,9233.6,18.0,9224.59,EUR,Banks-Savage,settled
po_8954031,REF-332103,2026-04-19T00:00:00Z,1310.69,13.3,1265.03,GBP,Wright Group,settled
po_5742531,REF-494763,2026-02-23T00:00:00Z,17841.32,3.05,17825.69,GBP,Vincent-Mcclure,settled
po_6361758,REF-845635,2026-03-24T00:00:00Z,16058.210000000001,14.7,16023.85,EUR,"Hansen, Herrera and Taylor",processing
po_7014583,REF-137034,2026-04-04T00:00:00Z,22700.98,17.06,22675.12,EUR,Bauer Inc,pending
po_7235796,REF-291961,2026-04-07T00:00:00Z,3234.17,6.59,3220.4,EUR,Walters LLC,settled
po_8676774,REF-813763,2026-01-15T00:00:00Z,11826.710000000001,17.39,11818.69,USD,Colon Group,pending
po_3171071,REF-160831,2026-03-22T00:00:00Z,8363.53,13.04,8332.42,USD,Davis PLC,processing
po_4796108,REF-866151,2026-01-25T00:00:00Z,9633.31,7.54,9598.33,USD,Shaw-Decker,pending
po_4161264,REF-578073,2026-02-06T00:00:00Z,4205.41,18.23,4196.33,USD,Davis-Mitchell,processing
po_1804641,REF-122977,2026-04-03T00:00:00Z,18219.48,13.42,18186.04,USD,Brown LLC,settled
po_3301222,REF-365015,2026-03-11T00:00:00Z,10455.49,18.07,10433.97,EUR,"Pineda, Travis and Jones",settled
po_9064202,REF-375769,2026-04-09T00:00:00Z,12473.230000000001,1.05,12456.03,GBP,Walters PLC,settled
po_1661769,REF-858711,2026-01-09T00:00:00Z,3792.6400000000003,7.84,3749.88,USD,"Liu, Parsons and Delacruz",failed
po_4068039,REF-245117,2026-04-19T00:00:00Z,2404.17,8.6,2397.59,USD,"Garza, Barker and Maddox",processing
po_8351152,REF-935620,2026-03-24T00:00:00Z,17265.190000000002,8.22,17255.31,EUR,Dickson-Gutierrez,failed
po_9709047,REF-531262,2026-04-23T00:00:00Z,12116.539999999999,14.31,12089.91,EUR,Reynolds-Harris,settled
po_9248484,REF-979789,2026-01-19T00:00:00Z,12077.9,7.29,12061.19,GBP,Pennington PLC,failed
po_1298116,REF-346415,2026-04-14T00:00:00Z,13779.66,8.83,13773.63,EUR,"Graham, Garrett and Caldwell",settled
po_7095071,REF-804091,2026-03-24T00:00:00Z,22291.600000000002,3.17,22255.52,GBP,"Peterson, Hood and Arroyo",pending
po_3025778,REF-492052,2026-03-07T00:00:00Z,20797.93,8.47,20751.35,EUR,Hunter-Nicholson,processing
po_8261353,REF-764000,2026-01-05T00:00:00Z,17968.879999999997,10.18,17926.78,USD,Kirk-Henson,pending
po_5590177,REF-789461,2026-02-18T00:00:00Z,18289.6,7.51,18269.1,USD,Hawkins-Saunders,failed
po_6793064,REF-984027,2026-02-07T00:00:00Z,3522.19,3.52,3476.05,GBP,Fitzgerald PLC,pending
po_9769953,REF-711116,2026-03-02T00:00:00Z,17772.280000000002,8.24,17766.06,EUR,Roberts Group,settled
po_7524435,REF-362732,2026-03-28T00:00:00Z,6705.42,15.9,6692.78,USD,Johnson-Newton,failed
po_4296204,REF-818430,2026-04-10T00:00:00Z,23202.989999999998,19.32,23163.96,EUR,"Payne, Wall and Hernandez",failed
po_1670091,REF-495521,2026-01-15T00:00:00Z,4703.2699999999995,7.13,4694.74,USD,Hickman-Walter,settled
po_2542590,REF-176421,2026-02-14T00:00:00Z,12294.630000000001,17.78,12276.51,GBP,"Walker, Garcia and Mcguire",failed
po_7398370,REF-688602,2026-03-01T00:00:00Z,5526.55,18.95,5480.67,GBP,Wilson and Sons,processing
po_2098434,REF-941814,2026-03-06T00:00:00Z,653.36,12.96,642.03,GBP,Dudley Ltd,pending
po_2468357,REF-836879,2026-04-16T00:00:00Z,20900.33,4.38,20895.74,USD,Murray Group,failed
po_2217848,REF-760830,2026-02-26T00:00:00Z,22795.42,10.55,22776.89,EUR,Bauer Inc,failed
po_3417186,REF-514306,2026-02-17T00:00:00Z,15189.58,17.85,15173.98,EUR,Robinson and Sons,failed
po_4552356,REF-143802,2026-01-15T00:00:00Z,13870.49,13.27,13849.27,GBP,Roberts LLC,pending
po_5205840,REF-290167,2026-01-14T00:00:00Z,15437.51,14.79,15431.7,EUR,Maxwell-Shepherd,processing
po_7115185,REF-398987,2026-01-12T00:00:00Z,3267.75,19.21,3227.17,GBP,Rodriguez LLC,pending
po_2825908,REF-980919,2026-02-04T00:00:00Z,19656.47,12.53,19646.86,GBP,"Moss, Atkins and Daniels",failed
po_1614990,REF-757057,2026-04-03T00:00:00Z,22313.17,11.33,22285.14,USD,"Hayes, Luna and Miller",processing
po_9625782,REF-587274,2026-01-17T00:00:00Z,9169.199999999999,4.03,9161.32,USD,Zimmerman and Sons,pending
po_1669489,REF-611329,2026-04-07T00:00:00Z,23529.95,7.16,23480.9,USD,Jones Group,failed
po_6920646,REF-785428,2026-02-17T00:00:00Z,14517.36,7.56,14476.32,GBP,Bryant LLC,processing
po_4864570,REF-341162,2026-01-21T00:00:00Z,12579.699999999999,7.27,12558.38,USD,Rhodes Ltd,settled
po_1938047,REF-973846,2026-03-23T00:00:00Z,11997.699999999999,18.53,11988.55,GBP,White-Wilson,processing
po_9569884,REF-327114,2026-01-10T00:00:00Z,21979.719999999998,14.76,21965.76,GBP,"Rodriguez, Sutton and Santiago",failed
po_9915915,REF-117367,2026-01-13T00:00:00Z,5790.26,3.23,5764.6,EUR,Reeves Ltd,processing
po_8138527,REF-541119,2026-03-07T00:00:00Z,22434.36,10.07,22426.8,GBP,"Fleming, King and Herring",pending
po_6299951,REF-298202,2026-02-01T00:00:00Z,7120.62,3.03,7099.59,GBP,Costa and Sons,processing
po_7211142,REF-483405,2026-03-13T00:00:00Z,6579.44,10.19,6551.04,GBP,Best Inc,failed
po_3696736,REF-340932,2026-04-05T00:00:00Z,18421.239999999998,13.08,18401.17,GBP,Peterson LLC,settled
