bank_txn_id,reference,date,amount,currency,payee,description,source_status
BNK-200024,REF-740967,03/02/2026,-3705.17,USD,Brown and Sons,ACH DEBIT,settled
BNK-200025,REF-940346,01/19/2026,-22938.81,USD,Reed PLC,Payout Execution,settled
BNK-200026,REF-757193,03/09/2026,-21000.58,EUR,Lawrence-Lee,WIRE TRANSFER,settled
BNK-200027,REF-316881,2026-01-09,-8288.76,EUR,Kirk-Henson,Payout Execution,settled
BNK-200028,REF-732556,04/13/2026,-13467.06,GBP,Prince-Martinez,Payout Execution,settled
BNK-200029,ref584125,04/21/2026,-2121.59,EUR,Ramsey-Caldwell,Vendor Settlement,settled
BNK-200030,ref171951,2026-03-31,-24997.7,EUR,Orozco Ltd,Payout Execution,settled
BNK-200031,REF-959099,04/10/2026,-15157.18,GBP,Davenport PLC,ACH DEBIT,settled
BNK-200032,REF-630538,2026-01-11,-8696.41,EUR,Goodwin-Martinez,Payout Execution,settled
BNK-200033,REF-993085,2026-02-11,-11635.22,GBP,Allen Inc,Payout Execution,settled
BNK-200034,REF-725113,2026-04-25,-19950.86,eur,Robbins LLC,Payout Execution,settled
BNK-200035,REF-355123,03/31/2026,-2349.01,USD,Mccoy-Mccarthy,Vendor Settlement,settled
BNK-200036,REF-823688,04/08/2026,-7905.81,GBP,Wilson Group,Vendor Settlement,settled
BNK-200037,ref889359,03/29/2026,-13845.14,GBP,Kennedy-Marks,Vendor Settlement,settled
BNK-200038,REF-360247,2026-01-11,-3814.38,GBP,Wilson Ltd,Payout Execution,settled
BNK-200039,REF-317881,2026-04-10,-15250.53,GBP,"Evans, Conway and Hall",Payout Execution,settled
BNK-200040,REF-344762,2026-03-30,-17582.11,EUR,"Chavez, Davis and Walton",WIRE TRANSFER,settled
BNK-200041,REF-522060,2026-04-01,-10992.86,EUR,Wilson Ltd,Vendor Settlement,settled
BNK-200042,REF-783157,03/09/2026,-14416.77,USD,Allen Ltd,Payout Execution,settled
BNK-200043,REF-576919,01/05/2026,-7223.24,EUR,"Walker, Garcia and Mcguire",ACH DEBIT,settled
BNK-200044,REF-675898,2026-02-04,-15644.58,usd,Walter Inc,WIRE TRANSFER,settled
BNK-200045,REF-851413,03/06/2026,-11549.66,USD,Smith Ltd,Payout Execution,settled
BNK-200046,REF-925981,05/10/2026,-19322.56,EUR,"Wilson, Robertson and Gonzalez",Payout Execution,settled
BNK-200047,REF-501574,03/15/2026,-21743.3,GBP,"Johnson, Meyer and Hanna",Payout Execution,settled
BNK-200048,REF-251157,04/04/2026,-2515.3,EUR,"Robinson, Bauer and Brown",ACH DEBIT,settled
BNK-200049,REF-761820,02/02/2026,-21812.77,USD,"Adams, Rodriguez and Walker",ACH DEBIT,settled
BNK-200050,REF-356059,2026-01-21,-7351.86,eur,"Fleming, King and Herring",WIRE TRANSFER,settled
BNK-200051,REF-401603,05/03/2026,-6401.78,USD,Cox-Hickman,Vendor Settlement,settled
BNK-200052,REF-410244,03/17/2026,-5949.21,gbp,Robinson Group,ACH DEBIT,settled
BNK-200053,REF-892280,2026-03-30,-5494.64,USD,Davis Group,Vendor Settlement,settled
BNK-200054,REF-238579,01/28/2026,-8184.81,EUR,Bryant LLC,Payout Execution,settled
BNK-200055,REF-943671,04/21/2026,-3540.41,USD,Fitzpatrick-Henderson,Vendor Settlement,settled
BNK-200056,REF-739717,04/28/2026,-649.99,GBP,Thompson-Washington,ACH DEBIT,settled
BNK-200057,REF-715870,02/25/2026,-9731.43,EUR,Stone and Sons,Vendor Settlement,settled
BNK-200058,ref776149,03/12/2026,-2506.38,gbp,Shaw-Stuart,ACH DEBIT,settled
BNK-200059,REF-326441,2026-03-17,-1738.54,GBP,Ingram PLC,WIRE TRANSFER,settled
BNK-200060,ref282710,2026-01-04,-19754.87,USD,"Fox, Hernandez and Ryan",ACH DEBIT,settled
BNK-200061,REF-988456,03/04/2026,-11464.61,usd,ROACH AND SONS,WIRE TRANSFER,settled
BNK-200062,ref931621,2026-01-15,-11356.54,GBP,"Fleming, King and Herring",Payout Execution,settled
BNK-200063,ref597305,03/29/2026,-16636.07,EUR,Smith Ltd,Vendor Settlement,settled
BNK-200064,REF-208633,2026-02-17,-24210.76,GBP,Todd-Oconnor,ACH DEBIT,settled
BNK-200065,ref456331,04/29/2026,-748.11,eur,Newman-Thomas,ACH DEBIT,settled
BNK-200066,ref695164,2026-04-16,-9267.08,GBP,"Martinez, Joseph and Simmons",Payout Execution,settled
BNK-200067,REF-811444,2026-03-30,-8645.7,usd,"Rodriguez, Sutton and Santiago",WIRE TRANSFER,settled
BNK-200068,REF-341288,04/03/2026,-4412.98,EUR,"BRYANT, HARRISON AND CARTER",ACH DEBIT,settled
BNK-200069,REF-280222,02/13/2026,-7255.64,EUR,Holmes and Sons,Payout Execution,settled
BNK-200070,REF-634723,2026-03-09,-1932.57,GBP,Davenport PLC,WIRE TRANSFER,settled
BNK-200071,REF-814220,03/01/2026,-11612.23,GBP,GOMEZ-CARDENAS,Payout Execution,settled
BNK-200072,ref972097,02/18/2026,-11557.02,USD,Welch-Peck,ACH DEBIT,settled
BNK-200073,REF-950360,2026-01-15,-12546.65,USD,"Shaw, Baker and Scott",Payout Execution,settled
BNK-200074,REF-761532,04/14/2026,-10234.02,EUR,Flynn-Matthews,WIRE TRANSFER,settled
BNK-200075,REF-686072,2026-02-10,-3245.57,GBP,White Group,Vendor Settlement,settled
BNK-200076,REF-410160,2026-01-10,-4820.33,USD,"Frey, Mcgee and Bailey",WIRE TRANSFER,settled
BNK-200077,REF-740255,2026-02-27,-10286.19,GBP,Lane-Hines,Payout Execution,settled
BNK-200078,REF-269930,02/23/2026,-19458.65,GBP,"Waller, Bass and Mitchell",ACH DEBIT,settled
BNK-200079,REF-573041,04/16/2026,-20780.39,USD,Mann Group,Vendor Settlement,settled
BNK-200080,REF-839808,2026-04-12,-981.64,EUR,"Cox, Fernandez and Baker",Payout Execution,settled
BNK-200081,REF-216242,2026-01-17,-15982.82,GBP,FARRELL-WILLIS,Vendor Settlement,settled
BNK-200082,REF-924613,03/08/2026,-1715.29,GBP,"Rice, Wallace and Castillo",ACH DEBIT,settled
BNK-200083,REF-953025,02/15/2026,-3356.9,EUR,Prince-Martinez,ACH DEBIT,settled
BNK-200084,REF-669408,04/16/2026,-23335.94,GBP,FITZPATRICK-HENDERSON,Vendor Settlement,settled
BNK-200085,REF-621691,03/31/2026,-8492.44,usd,Arroyo-Pope,WIRE TRANSFER,settled
BNK-200086,REF-144412,03/01/2026,-4186.95,EUR,Flynn Group,ACH DEBIT,settled
BNK-200087,REF-232361,2026-01-05,-21220.52,GBP,Robinson and Sons,Vendor Settlement,settled
BNK-200088,REF-127172,2026-01-17,-7876.78,EUR,"Martinez, Henderson and Osborne",Payout Execution,settled
BNK-200089,REF-848022,04/27/2026,-21324.34,EUR,Anderson-Parks,Vendor Settlement,settled
BNK-200090,ref928766,2026-02-01,-3056.03,USD,"COX, FERNANDEZ AND BAKER",Vendor Settlement,settled
BNK-200091,REF-588461,2026-03-01,-3155.04,EUR,Gonzalez-Pennington,ACH DEBIT,settled
BNK-200092,REF-182690,04/20/2026,-8666.93,GBP,"RODRIGUEZ, SUTTON AND SANTIAGO",WIRE TRANSFER,settled
BNK-200093,REF-772612,2026-01-08,-20635.28,USD,Cochran Inc,Vendor Settlement,settled
BNK-200094,REF-607774,02/24/2026,-17223.12,USD,Rhodes Ltd,Payout Execution,settled
BNK-200095,REF-201514,2026-01-19,-3084.98,EUR,Zimmerman Group,Vendor Settlement,settled
BNK-200096,REF-579441,03/06/2026,-12446.82,USD,"Garner, Lawson and Richard",Payout Execution,settled
BNK-200097,REF-520040,2026-01-06,-18194.51,EUR,Johnson-Ruiz,Vendor Settlement,settled
BNK-200098,REF-731728,01/31/2026,-13956.85,EUR,"Dorsey, Patterson and Harrison",WIRE TRANSFER,settled
BNK-200099,REF-613641,2026-03-12,-14853.28,GBP,Jones-Fuentes,ACH DEBIT,settled
BNK-200100,REF-961574,2026-01-21,-4283.54,gbp,Wagner Ltd,WIRE TRANSFER,settled
BNK-200101,REF-440839,03/15/2026,-17651.74,GBP,Ingram PLC,Vendor Settlement,settled
BNK-200102,REF-317346,04/03/2026,-5641.05,EUR,"Jackson, Romero and Mendez",Payout Execution,settled
BNK-200103,REF-563864,05/01/2026,-23883.96,USD,Pierce Inc,WIRE TRANSFER,settled
BNK-200104,REF-446337,2026-02-24,-15957.67,USD,Cobb Group,Payout Execution,settled
BNK-200105,REF-661147,2026-02-01,-22700.73,USD,Brown Ltd,ACH DEBIT,settled
BNK-200106,REF-451317,2026-04-30,-7477.35,GBP,Kelly-Murphy,WIRE TRANSFER,settled
BNK-200107,REF-894068,03/28/2026,-18422.03,EUR,"GEORGE, LEWIS AND MITCHELL",ACH DEBIT,settled
BNK-200108,REF-710754,2026-02-10,-5907.14,eur,Harvey Inc,Vendor Settlement,settled
BNK-200109,REF-601410,01/18/2026,-9204.41,USD,Jones Group,WIRE TRANSFER,settled
BNK-200110,REF-969032,2026-01-10,-1975.62,GBP,Reynolds-Harris,ACH DEBIT,settled
BNK-200111,REF-160541,03/16/2026,-3320.31,EUR,REED PLC,WIRE TRANSFER,settled
BNK-200112,REF-401036,01/06/2026,-23366.21,USD,Bowers Ltd,Payout Execution,settled
BNK-200113,REF-233533,03/11/2026,-2987.86,GBP,"Garner, Lawson and Richard",Payout Execution,settled
BNK-200114,REF-948799,2026-01-07,-4732.3,GBP,REYNOLDS-HARRIS,ACH DEBIT,settled
BNK-200115,REF-891030,01/28/2026,-10071.58,USD,Stone and Sons,Vendor Settlement,settled
BNK-200116,REF-811721,03/28/2026,-1547.42,GBP,Bryant LLC,Payout Execution,settled
BNK-200117,REF-585517,2026-04-14,-7535.89,GBP,"Dorsey, Patterson and Harrison",Vendor Settlement,settled
BNK-200118,REF-176319,2026-04-22,-1312.13,EUR,Reynolds LLC,Vendor Settlement,settled
BNK-200119,REF-733760,04/02/2026,-18678.31,EUR,Jenkins-Henderson,Vendor Settlement,settled
BNK-200120,ref428122,2026-02-18,-19046.68,EUR,Walter Inc,Payout Execution,settled
BNK-200121,REF-900441,2026-02-03,-12495.05,GBP,"Johnson, Phillips and Brown",WIRE TRANSFER,settled
BNK-200122,REF-106693,2026-04-09,-23631.07,gbp,Gordon-Roberts,Vendor Settlement,settled
BNK-200123,REF-117538,01/04/2026,-190.14,GBP,Park-Daniels,ACH DEBIT,settled
BNK-200124,REF-581294,2026-02-23,-19878.53,USD,Dudley Ltd,ACH DEBIT,settled
BNK-200125,REF-554987,2026-04-21,-17578.56,USD,Cooper PLC,WIRE TRANSFER,settled
BNK-200126,REF-790077,2026-03-14,-17118.63,EUR,"Rice, Wallace and Castillo",Payout Execution,settled
BNK-200127,ref822794,2026-04-14,-9611.56,GBP,"Cox, Fernandez and Baker",Vendor Settlement,settled
BNK-200128,REF-493663,05/02/2026,-12277.82,EUR,Griffin Inc,ACH DEBIT,settled
BNK-200129,REF-423241,2026-05-02,-9033.49,USD,Dickson-Padilla,Payout Execution,settled
BNK-200130,REF-506637,2026-02-22,-21596.36,USD,"Garcia, Mercado and West",Payout Execution,settled
BNK-200131,REF-920685,03/03/2026,-10881.04,EUR,Mcclain-Jensen,ACH DEBIT,settled
BNK-200132,REF-551533,2026-02-14,-20106.81,EUR,Rhodes Ltd,Payout Execution,settled
BNK-200133,REF-219420,2026-02-18,-8164.01,EUR,"Garner, Lawson and Richard",WIRE TRANSFER,settled
BNK-200134,REF-364955,02/02/2026,-16832.62,USD,Wilson Ltd,Payout Execution,settled
BNK-200135,REF-906306,2026-01-14,-17548.32,GBP,White Group,Payout Execution,settled
BNK-200136,REF-821068,2026-03-18,-12779.14,GBP,GARDNER INC,ACH DEBIT,settled
BNK-200137,REF-316916,04/13/2026,-8724.51,EUR,Reed PLC,ACH DEBIT,settled
BNK-200138,REF-687044,2026-02-13,-12911.95,GBP,Mcdowell-Watts,Payout Execution,settled
BNK-200139,REF-888870,2026-02-10,-136.14,USD,"Peterson, Hood and Arroyo",ACH DEBIT,settled
BNK-200140,REF-580101,2026-04-21,-14685.44,EUR,"Howell, Hart and Swanson",WIRE TRANSFER,settled
BNK-200141,REF-294776,2026-02-25,-14920.73,GBP,Arnold-Beck,WIRE TRANSFER,settled
BNK-200142,REF-629990,03/15/2026,-12128.11,USD,ARNOLD-BECK,ACH DEBIT,settled
BNK-200143,ref218710,03/09/2026,-14152.12,EUR,"Walker, Garcia and Mcguire",Payout Execution,settled
BNK-200144,REF-223088,02/26/2026,-11257.07,EUR,Richard LLC,WIRE TRANSFER,settled
BNK-200145,REF-700556,2026-02-08,-8108.25,gbp,"Garcia, Mercado and West",Payout Execution,settled
BNK-200146,REF-359579,04/19/2026,-6260.69,GBP,JIMENEZ-BRADLEY,ACH DEBIT,settled
BNK-200147,REF-580718,04/06/2026,-8199.05,USD,Leach-Walker,WIRE TRANSFER,settled
BNK-200148,ref815707,2026-04-25,-14164.4,eur,"Curtis, Turner and Soto",Payout Execution,settled
BNK-200149,REF-387330,2026-04-22,-22056.64,eur,Mcdowell-Watts,WIRE TRANSFER,settled
BNK-200150,ref566686,03/29/2026,-3339.18,USD,Garcia Ltd,WIRE TRANSFER,settled
BNK-200151,ref656278,2026-01-11,-3449.8,USD,"Dorsey, Patterson and Harrison",Payout Execution,settled
BNK-200152,REF-429780,02/24/2026,-14749.61,EUR,Flynn Group,Vendor Settlement,settled
BNK-200153,REF-218220,2026-02-19,-19600.44,USD,Garcia and Sons,WIRE TRANSFER,settled
BNK-200154,REF-170813,03/20/2026,-19074.08,USD,"Johnson, Harrison and Thomas",Payout Execution,settled
BNK-200155,REF-442622,2026-03-11,-1998.56,USD,"Frey, Mcgee and Bailey",WIRE TRANSFER,settled
BNK-200156,REF-113280,01/24/2026,-7749.52,GBP,Bryant LLC,Vendor Settlement,settled
BNK-200157,REF-577309,03/07/2026,-6592.17,GBP,"Hernandez, Greer and Jackson",ACH DEBIT,settled
BNK-200158,REF-999138,04/30/2026,-9115.31,USD,Dickson Inc,Vendor Settlement,settled
BNK-200159,REF-172274,2026-02-22,-4504.13,GBP,"SANTANA, HOFFMAN AND COBB",WIRE TRANSFER,settled
BNK-200160,REF-934638,2026-04-08,-24944.73,USD,PRINCE-MARTINEZ,Payout Execution,settled
BNK-200161,REF-146032,01/12/2026,-24314.67,USD,Robbins LLC,ACH DEBIT,settled
BNK-200162,REF-373668,02/08/2026,-10888.7,USD,Lane-Hines,ACH DEBIT,settled
BNK-200163,REF-661957,01/17/2026,-11252.93,EUR,LEWIS-ROBINSON,Vendor Settlement,settled
BNK-200164,REF-810078,01/08/2026,-24210.8,EUR,Fitzgerald PLC,ACH DEBIT,settled
BNK-200165,ref760914,2026-03-31,-3289.61,eur,BROWN-HUYNH,Payout Execution,settled
BNK-200166,REF-859620,04/17/2026,-1289.68,GBP,"Gray, Williams and Weaver",Vendor Settlement,settled
BNK-200167,REF-191982,2026-01-09,-10314.51,GBP,Webster and Sons,ACH DEBIT,settled
BNK-200168,ref726121,02/10/2026,-9724.82,USD,Thornton and Sons,WIRE TRANSFER,settled
BNK-200169,REF-936124,2026-04-20,-19107.14,USD,"Edwards, Anderson and Taylor",Vendor Settlement,settled
BNK-200170,ref284084,02/17/2026,-20921.5,eur,Morris Inc,WIRE TRANSFER,settled
BNK-200171,REF-651860,04/20/2026,-14675.56,USD,Anderson Inc,Vendor Settlement,settled
BNK-200172,REF-743520,03/31/2026,-16238.28,USD,Roberts Group,WIRE TRANSFER,settled
BNK-200173,REF-693022,2026-03-23,-4572.49,EUR,Mann Group,ACH DEBIT,settled
BNK-200174,REF-504684,01/08/2026,-6435.03,USD,Joseph Group,Payout Execution,settled
BNK-200175,REF-434198,2026-01-08,-19984.88,USD,Bowman LLC,ACH DEBIT,settled
BNK-200176,REF-156157,01/21/2026,-23562.5,USD,Perez-Neal,ACH DEBIT,settled
BNK-200177,REF-794178,04/18/2026,-120.31,USD,Bowman LLC,ACH DEBIT,settled
BNK-200178,REF-567429,01/24/2026,-4642.41,EUR,Goodwin-Martinez,ACH DEBIT,settled
BNK-200179,REF-661527,02/25/2026,-13851.21,EUR,Pena Inc,ACH DEBIT,settled
BNK-200180,ref302087,2026-04-22,-4342.65,USD,Brown LLC,ACH DEBIT,settled
BNK-200181,REF-539976,2026-04-11,-22931.12,USD,Pena Inc,ACH DEBIT,settled
BNK-200182,REF-388792,2026-01-24,-14311.28,EUR,"Bates, Diaz and Lowe",WIRE TRANSFER,settled
BNK-200183,REF-339030,04/22/2026,-7790.96,EUR,"Evans, Conway and Hall",ACH DEBIT,settled
BNK-200184,REF-426236,2026-01-11,-20529.91,GBP,Mcdowell-Watts,WIRE TRANSFER,settled
BNK-200185,REF-766275,02/20/2026,-9224.59,EUR,Banks-Savage,Vendor Settlement,settled
BNK-200186,REF-332103,2026-04-22,-1265.03,GBP,Wright Group,ACH DEBIT,settled
BNK-200187,REF-494763,02/25/2026,-17825.69,GBP,VINCENT-MCCLURE,Vendor Settlement,settled
BNK-200188,REF-845635,2026-03-27,-16023.85,EUR,"Hansen, Herrera and Taylor",Payout Execution,settled
BNK-200189,REF-137034,2026-04-07,-22675.12,EUR,Bauer Inc,Payout Execution,settled
BNK-200190,REF-291961,2026-04-10,-3220.4,EUR,Walters LLC,Vendor Settlement,settled
BNK-200191,REF-813763,2026-01-17,-11818.69,usd,Colon Group,Payout Execution,settled
BNK-200192,REF-160831,2026-03-23,-8332.42,USD,Davis PLC,ACH DEBIT,settled
BNK-200193,REF-866151,2026-01-27,-9598.33,usd,SHAW-DECKER,WIRE TRANSFER,settled
BNK-200194,REF-578073,2026-02-09,-4196.33,USD,Davis-Mitchell,Vendor Settlement,settled
BNK-200195,REF-122977,2026-04-06,-18186.04,USD,Brown LLC,ACH DEBIT,settled
BNK-200196,REF-365015,2026-03-13,-10433.97,EUR,"Pineda, Travis and Jones",Vendor Settlement,settled
BNK-200197,REF-375769,2026-04-12,-12456.03,gbp,Walters PLC,WIRE TRANSFER,settled
BNK-200198,ref858711,01/12/2026,-3749.88,USD,"LIU, PARSONS AND DELACRUZ",WIRE TRANSFER,settled
BNK-200199,REF-245117,04/22/2026,-2397.59,USD,"GARZA, BARKER AND MADDOX",Vendor Settlement,settled
BNK-200200,ref935620,2026-03-25,-17255.31,eur,Dickson-Gutierrez,Payout Execution,settled
BNK-200201,ref531262,2026-04-25,-12089.91,EUR,Reynolds-Harris,Vendor Settlement,settled
BNK-200202,REF-979789,01/22/2026,-12061.16,GBP,Pennington PLC,ACH DEBIT,settled
BNK-200203,REF-346415,04/15/2026,-13773.63,EUR,"Graham, Garrett and Caldwell",Payout Execution,settled
BNK-200204,REF-804091,2026-03-26,-22255.52,GBP,"Peterson, Hood and Arroyo",Payout Execution,settled
BNK-200205,ref492052,03/10/2026,-20751.35,eur,Hunter-Nicholson,WIRE TRANSFER,settled
BNK-200206,REF-764000,2026-01-08,-17926.78,USD,KIRK-HENSON,ACH DEBIT,settled
BNK-200207,REF-789461,02/21/2026,-18269.1,USD,Hawkins-Saunders,WIRE TRANSFER,settled
BNK-200208,REF-984027,2026-02-10,-3476.05,GBP,Fitzgerald PLC,Vendor Settlement,settled
BNK-200209,REF-711116,03/05/2026,-17766.06,EUR,Roberts Group,ACH DEBIT,settled
BNK-200210,REF-362732,2026-03-29,-6692.78,USD,Johnson-Newton,WIRE TRANSFER,settled
BNK-200211,REF-818430,04/20/2026,-23163.96,EUR,"Payne, Wall and Hernandez",Vendor Settlement,settled
BNK-200212,REF-495521,01/16/2026,-4694.74,usd,Hickman-Walter,WIRE TRANSFER,settled
BNK-200213,REF-176421,2026-02-17,-12276.51,GBP,"Walker, Garcia and Mcguire",Payout Execution,settled
BNK-200214,ref688602,2026-03-04,-5480.67,GBP,Wilson and Sons,Vendor Settlement,settled
BNK-200215,REF-941814,2026-03-17,-642.03,GBP,Dudley Ltd,ACH DEBIT,settled
BNK-200216,REF-836879,2026-04-19,-20895.74,usd,Murray Group,ACH DEBIT,settled
BNK-200217,REF-760830,2026-03-08,-22776.89,EUR,Bauer Inc,ACH DEBIT,settled
BNK-200218,ref514306,02/20/2026,-15173.98,EUR,Robinson and Sons,Vendor Settlement,settled
BNK-200219,REF-143802,2026-01-16,-13849.27,GBP,Roberts LLC,Vendor Settlement,settled
BNK-200220,REF-290167,01/17/2026,-15431.7,EUR,MAXWELL-SHEPHERD,ACH DEBIT,settled
BNK-200221,ref398987,01/15/2026,-3227.17,GBP,Rodriguez LLC,WIRE TRANSFER,settled
BNK-200222,REF-980919,02/06/2026,-19646.86,GBP,"Moss, Atkins and Daniels",Payout Execution,settled
BNK-200223,REF-757057,2026-04-04,-22285.14,USD,"Hayes, Luna and Miller",WIRE TRANSFER,settled
BNK-200224,REF-587274,2026-01-20,-9161.32,USD,Zimmerman and Sons,WIRE TRANSFER,settled
BNK-200225,ref611329,04/08/2026,-23480.92,USD,Jones Group,ACH DEBIT,settled
BNK-200226,REF-785428,02/19/2026,-14476.32,GBP,Bryant LLC,Payout Execution,settled
BNK-200227,REF-341162,2026-01-22,-12558.38,USD,Rhodes Ltd,ACH DEBIT,settled
BNK-200228,ref973846,2026-04-01,-11988.55,GBP,WHITE-WILSON,WIRE TRANSFER,settled
BNK-200229,REF-327114,2026-01-12,-21965.76,GBP,"Rodriguez, Sutton and Santiago",WIRE TRANSFER,settled
BNK-200230,REF-117367,2026-01-14,-5764.6,EUR,Reeves Ltd,ACH DEBIT,settled
BNK-200231,REF-541119,03/09/2026,-22426.8,GBP,"Fleming, King and Herring",ACH DEBIT,settled
BNK-200232,REF-298202,2026-02-02,-7099.59,GBP,Costa and Sons,WIRE TRANSFER,settled
BNK-200233,REF-483405,03/16/2026,-6551.04,GBP,Best Inc,WIRE TRANSFER,settled
BNK-200234,REF-340932,04/07/2026,-18401.17,GBP,Peterson LLC,ACH DEBIT,settled
BNK-200235,REF-375871,01/09/2026,-23148.4,EUR,"Best, Simon and Turner",ACH DEBIT,settled
BNK-200236,REF-832377,2026-03-08,-4888.79,GBP,"LIU, PARSONS AND DELACRUZ",Vendor Settlement,settled
BNK-200237,REF-970071,04/05/2026,-22981.46,GBP,"Rodriguez, Sutton and Santiago",Payout Execution,settled
BNK-200238,REF-638220,04/14/2026,-12591.65,EUR,"Miller, Anderson and Padilla",WIRE TRANSFER,settled
BNK-200239,REF-764442,02/18/2026,-12062.2,EUR,SMITH AND SONS,Vendor Settlement,settled
BNK-200240,REF-701581,2026-04-26,-11926.97,EUR,Hunt PLC,WIRE TRANSFER,settled
BNK-200241,REF-182300,2026-04-30,-3920.97,USD,Barrera Group,Vendor Settlement,settled
BNK-200242,REF-651273,01/08/2026,-9962.04,GBP,"Hernandez, Wade and Rodriguez",Payout Execution,settled
BNK-200243,REF-742544,02/17/2026,-9501.21,USD,"Martinez, Joseph and Simmons",WIRE TRANSFER,settled
BNK-200244,REF-204721,04/17/2026,-14295.96,GBP,Nguyen-Roberts,WIRE TRANSFER,settled
BNK-200245,REF-695417,03/13/2026,-19638.69,EUR,Davis Group,Payout Execution,settled
BNK-200246,REF-703869,03/17/2026,-3052.91,GBP,Mullins-Cabrera,Payout Execution,settled
BNK-200247,ref990136,02/21/2026,-10559.87,GBP,"Roberts, Frazier and Smith",Payout Execution,settled
BNK-200248,REF-863124,2026-01-17,-10364.38,USD,Hughes Inc,ACH DEBIT,settled
BNK-200249,ref748127,2026-02-03,-13111.47,USD,Hawkins-Saunders,WIRE TRANSFER,settled
BNK-200250,REF-385647,2026-05-02,-21609.42,EUR,Stone and Sons,Payout Execution,settled
BNK-200251,REF-532227,2026-02-24,-20122.58,EUR,Ibarra-Clark,ACH DEBIT,settled
BNK-200252,REF-297731,02/18/2026,-14935.17,USD,Hunter-Nicholson,ACH DEBIT,settled
BNK-200253,REF-403662,01/18/2026,-10337.27,USD,JONES-TAYLOR,ACH DEBIT,settled
BNK-200254,REF-115440,01/21/2026,-18184.5,USD,Anderson LLC,ACH DEBIT,settled
BNK-200255,REF-982417,2026-01-26,-1807.83,EUR,"Smith, Guerra and Holmes",WIRE TRANSFER,settled
BNK-200256,REF-438756,05/07/2026,-11833.82,GBP,Todd-Oconnor,Vendor Settlement,settled
BNK-200257,REF-225461,03/20/2026,-8129.72,USD,Jones-Graham,ACH DEBIT,settled
BNK-200258,REF-662407,03/31/2026,-1517.88,GBP,Smith Ltd,WIRE TRANSFER,settled
BNK-200259,REF-669097,02/09/2026,-12145.42,EUR,Walters LLC,WIRE TRANSFER,settled
BNK-200260,REF-869295,2026-02-18,-42.98,GBP,"OWENS, PETERS AND WHITE",Payout Execution,settled
BNK-200261,ref648615,2026-01-15,-10259.87,EUR,Anderson Inc,ACH DEBIT,settled
BNK-200262,REF-318877,2026-01-04,-1250.91,USD,"Chavez, Davis and Walton",Payout Execution,settled
BNK-200263,REF-201836,2026-03-08,-20865.55,USD,"Ramirez, Hernandez and Fox",Payout Execution,settled
BNK-200264,REF-521063,03/14/2026,-22073.53,USD,"Smith, Guerra and Holmes",Vendor Settlement,settled
BNK-200265,REF-574379,2026-02-20,-9392.2,GBP,Howard LLC,Vendor Settlement,settled
